DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 21", Atlanta ,W107-90  ,George  23,George  11,George  12,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Wed, Apr 24", Atlanta ,W113-98  ,George  27,Hibbert  9,George  3,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sat, Apr 27",Atlanta ,L90-69  ,West  18,George  9,Hill  3,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Mon, Apr 29",Atlanta ,L102-91  ,George  21,George  12,Stephenson  8,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Wed, May 1", Atlanta ,W106-83  ,West  24,Stephenson  12,Hill  10,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Fri, May 3",Atlanta ,W81-73  ,West  21,Hibbert  11,George  7,H,Indiana Pacers 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sun, May 5",New York ,W102-95  ,West  20,Stephenson  13,Hill  6,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Tue, May 7",New York ,L105-79  ,George  20,Hibbert  12,Hill  7,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sat, May 11", New York ,W82-71  ,Hibbert  24,Hibbert  12,George  8,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Tue, May 14", New York ,W93-82  ,Hill  26,George  14,George  7,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Thu, May 16",New York ,L85-75  ,George  23,West  10,George  6,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sat, May 18", New York ,W106-99  ,Stephenson  25,Hibbert  12,George  4,A,Indiana Pacers 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Wed, May 22",Miami ,L103-102 OT ,George  27,Stephenson  12,Hill  7,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Fri, May 24",Miami ,W97-93  ,Hibbert  29,Hibbert  10,George  6,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sun, May 26", Miami ,L114-96  ,West  21,Hibbert  17,George  8,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Tue, May 28", Miami ,W99-92  ,Hibbert  23,Hibbert  12,Hill  6,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Thu, May 30",Miami ,L90-79  ,George  27,George  11,George  5,H,Indiana Pacers 2012-13 Postseason NBA Schedule
"Sat, Jun 1", Miami ,W91-77  ,George  28,West  14,Hill  6,A,Indiana Pacers 2012-13 Postseason NBA Schedule
"Mon, Jun 3",Miami ,L99-76  ,Hibbert  18,Hibbert  8,Stephenson  5,H,Indiana Pacers 2012-13 Postseason NBA Schedule
