DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Oct 13", New Jersey ,W111-97  ,1-0,,,,A,New York Knicks 2006-07 Preseason NBA Schedule
"Sat, Oct 14",Philadelphia ,W102-100  ,2-0,,,,H,New York Knicks 2006-07 Preseason NBA Schedule
"Tue, Oct 17", Boston ,W116-108  ,3-0,,,,A,New York Knicks 2006-07 Preseason NBA Schedule
"Sat, Oct 21",Boston ,L113-89  ,3-1,,,,H,New York Knicks 2006-07 Preseason NBA Schedule
"Tue, Oct 24", Philadelphia ,W113-102  ,4-1,,,,A,New York Knicks 2006-07 Preseason NBA Schedule
"Fri, Oct 27",New Jersey ,L138-121  ,4-2,,,,H,New York Knicks 2006-07 Preseason NBA Schedule
