DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 14", Miami ,W130-103  ,Redick  28,Ilyasova  14,Simmons  14,A,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Mon, Apr 16", Miami ,L113-103  ,Simmons  24,Ilyasova  11,Simmons  8,A,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Thu, Apr 19",Miami ,W128-108  ,Embiid  23,Simmons  12,Simmons  7,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Sat, Apr 21",Miami ,W106-102  ,Redick  24,Simmons  13,Simmons  10,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Tue, Apr 24", Miami ,W104-91  ,Redick  27,Embiid  12,Simmons  6,A,Philadelphia 76ers 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Mon, Apr 30",Boston ,L117-101  ,Embiid  31,Embiid  13,Simmons  6,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Thu, May 3",Boston ,L108-103  ,Redick  23,Embiid  14,Simmons  7,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Sat, May 5", Boston ,L101-98 OT ,Embiid  22,Embiid  19,Simmons  8,A,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Mon, May 7", Boston ,W103-92  ,Saric  25,Simmons  13,Simmons  5,A,Philadelphia 76ers 2017-18 Postseason NBA Schedule
"Wed, May 9",Boston ,L114-112  ,Embiid  27,Embiid  12,Simmons  6,H,Philadelphia 76ers 2017-18 Postseason NBA Schedule
