DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Mar 18",Milwaukee ,L110-95  ,22-45,Lopez  25,Humphries  11,Williams  9,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Mar 20",Washington ,L98-92  ,22-46,Lopez  21,Humphries  17,Farmar  17,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Mon, Mar 21", Indiana ,L102-98  ,22-47,Lopez  20,Humphries  14,Farmar  4,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Mar 23",Cleveland ,W98-94 OT ,23-47,Humphries  18,Humphries  23,Farmar  10,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Mar 25",Orlando ,L95-85  ,23-48,Morrow  19,Humphries  10,Farmar  16,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Mar 26",Atlanta ,L98-87  ,23-49,Morrow  25,Petro  8,Farmar  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Mar 29", Houston ,L112-87  ,23-50,Lopez  22,Humphries  13,Farmar  7,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Mar 30",New York ,L120-116  ,23-51,Morrow  30,Humphries  14,Williams  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Apr 1",Philadelphia ,L115-90  ,23-52,Wright  15,Wright  11,Williams  7,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Apr 3", Miami ,L108-94  ,23-53,Williams  18,Outlaw  9,Williams  12,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Apr 5", Minnesota ,W107-105  ,24-53,Lopez  30,Lopez  12,Williams  21,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Apr 6",Detroit ,L116-109  ,24-54,Lopez  39,Lopez  7,Farmar  11,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Apr 8", New York ,L116-93  ,24-55,Lopez  27,Farmar  8,Farmar  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Apr 10",Toronto ,L99-92  ,24-56,Lopez  35,Lopez  11,Farmar  7,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Mon, Apr 11", Charlotte ,L105-103  ,24-57,Lopez  31,Gadzuric  8,Farmar  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Apr 13",Chicago ,L97-92  ,24-58,Farmar  21,Petro  8,Farmar  12,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
