DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Oct 6", Toronto ,W89-85  ,1-0,,,,A,Boston Celtics 2007-08 Preseason NBA Schedule
"Wed, Oct 10",Minnesota ,W92-81  ,2-0,,,,H,Boston Celtics 2007-08 Preseason NBA Schedule
"Wed, Oct 17", New York ,W101-61  ,3-0,,,,A,Boston Celtics 2007-08 Preseason NBA Schedule
"Sat, Oct 20", Philadelphia ,L96-78  ,3-1,,,,A,Boston Celtics 2007-08 Preseason NBA Schedule
"Mon, Oct 22",New York ,L94-87  ,3-2,,,,H,Boston Celtics 2007-08 Preseason NBA Schedule
"Tue, Oct 23",New Jersey ,L82-71  ,3-3,,,,H,Boston Celtics 2007-08 Preseason NBA Schedule
"Fri, Oct 26", Cleveland ,W114-89  ,4-3,,,,A,Boston Celtics 2007-08 Preseason NBA Schedule
DATE,PONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2007-08 Preseason NBA Schedule
