DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 14", San Antonio ,W113-92  ,Thompson  27,Durant  9,Green  11,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Mon, Apr 16", San Antonio ,W116-101  ,Durant  32,Iguodala  7,Durant  6,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Thu, Apr 19",San Antonio ,W110-97  ,Durant  26,Durant  9,Green  7,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sun, Apr 22",San Antonio ,L103-90  ,Durant  34,Green  18,Green  9,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Tue, Apr 24", San Antonio ,W99-91  ,Durant  25,Green  19,Green  7,A,Golden State Warriors 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sat, Apr 28", New Orleans ,W123-101  ,Thompson  27,Green  15,Green  11,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Tue, May 1", New Orleans ,W121-116  ,Durant  29,Green  9,Green  12,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Fri, May 4",New Orleans ,L119-100  ,Thompson  26,Green  12,Green  9,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sun, May 6",New Orleans ,W118-92  ,Durant  38,Durant  9,Green  9,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Tue, May 8", New Orleans ,W113-104  ,Curry  28,Green  14,Green  9,A,Golden State Warriors 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Mon, May 14",Houston ,W119-106  ,Durant  37,Green  9,Green  9,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Wed, May 16",Houston ,L127-105  ,Durant  38,Curry  7,Curry  7,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sun, May 20", Houston ,W126-85  ,Curry  35,Green  17,Durant  6,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Tue, May 22", Houston ,L95-92  ,Curry  28,Green  13,Green  8,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Thu, May 24",Houston ,L98-94  ,Durant  29,Green  15,Curry  6,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sat, May 26", Houston ,W115-86  ,Thompson  35,Green  10,Green  9,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Mon, May 28",Houston ,W101-92  ,Durant  34,Green  13,Curry  10,H,Golden State Warriors 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Thu, May 31", Cleveland ,W124-114 OT ,Curry  29,Green  11,Curry  9,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Sun, Jun 3", Cleveland ,W122-103  ,Curry  33,Durant  9,Curry  8,A,Golden State Warriors 2017-18 Postseason NBA Schedule
"Wed, Jun 6",Cleveland ,W110-102  ,Durant  43,Durant  13,Green  9,H,Golden State Warriors 2017-18 Postseason NBA Schedule
"Fri, Jun 8",Cleveland ,W108-85  ,Curry  37,Durant  12,Durant  10,H,Golden State Warriors 2017-18 Postseason NBA Schedule
