DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 14", Oklahoma City ,W104-99  ,Lillard  30,Freedom  18,Lillard  4,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Tue, Apr 16", Oklahoma City ,W114-94  ,McCollum  33,Harkless  9,Lillard  6,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Fri, Apr 19",Oklahoma City ,L120-108  ,Lillard  32,Aminu  9,McCollum  7,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Sun, Apr 21",Oklahoma City ,W111-98  ,McCollum  27,Harkless  10,Lillard  8,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Tue, Apr 23", Oklahoma City ,W118-115  ,Lillard  50,Freedom  13,Lillard  6,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Mon, Apr 29",Denver ,L121-113  ,Lillard  39,Aminu  8,Lillard  6,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Wed, May 1",Denver ,W97-90  ,McCollum  20,Aminu  10,McCollum  6,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Fri, May 3", Denver ,W140-137 4OT ,McCollum  41,Freedom  15,Lillard  8,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Sun, May 5", Denver ,L116-112  ,McCollum  29,Freedom  10,Lillard  7,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Tue, May 7",Denver ,L124-98  ,Lillard  22,Freedom  8,Lillard  4,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Thu, May 9", Denver ,W119-108  ,Lillard  32,Freedom  14,Turner  7,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Sun, May 12",Denver ,W100-96  ,McCollum  37,Freedom  12,Lillard  8,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Tue, May 14",Golden State ,L116-94  ,Lillard  19,Freedom  16,Lillard  6,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Thu, May 16",Golden State ,L114-111  ,Lillard  23,Aminu  6,Lillard  10,H,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Sat, May 18", Golden State ,L110-99  ,McCollum  23,Collins  8,Lillard  6,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
"Mon, May 20", Golden State ,L119-117 OT ,Leonard  30,Leonard  12,Lillard  12,A,Portland Trail Blazers 2018-19 Postseason NBA Schedule
