DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 18",Portland ,W108-81  ,Brooks  27,Ming  9,Brooks  7,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Tue, Apr 21",Portland ,L107-103  ,Brooks  23,Ming  8,Brooks  5,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Fri, Apr 24", Portland ,W86-83  ,Scola  19,Ming  13,Brooks  5,A,Houston Rockets 2008-09 Postseason NBA Schedule
"Sun, Apr 26", Portland ,W89-88  ,Ming  21,Ming  12,World Peace  9,A,Houston Rockets 2008-09 Postseason NBA Schedule
"Tue, Apr 28",Portland ,L88-77  ,Scola  21,Ming  12,Brooks  5,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Thu, Apr 30", Portland ,W92-76  ,World Peace  27,Ming  10,Lowry  3,A,Houston Rockets 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Mon, May 4",Los Angeles ,W100-92  ,Ming  28,Ming  10,World Peace  7,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Wed, May 6",Los Angeles ,L111-98  ,World Peace  25,Landry  10,World Peace  5,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Fri, May 8", Los Angeles ,L108-94  ,World Peace  25,Ming  14,Battier  7,A,Houston Rockets 2008-09 Postseason NBA Schedule
"Sun, May 10", Los Angeles ,W99-87  ,Brooks  34,Scola  14,World Peace  6,A,Houston Rockets 2008-09 Postseason NBA Schedule
"Tue, May 12",Los Angeles ,L118-78  ,Brooks  14,Scola  13,Scola  4,H,Houston Rockets 2008-09 Postseason NBA Schedule
"Thu, May 14", Los Angeles ,W95-80  ,Brooks  26,Scola  12,Brooks  4,A,Houston Rockets 2008-09 Postseason NBA Schedule
"Sun, May 17",Los Angeles ,L89-70  ,Brooks  13,World Peace  8,World Peace  5,H,Houston Rockets 2008-09 Postseason NBA Schedule
