DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16", Philadelphia ,W97-89  ,Bosh  25,James  14,James  5,A,Miami Heat 2010-11 Postseason NBA Schedule
"Mon, Apr 18", Philadelphia ,W94-73  ,James  29,Bosh  11,James  6,A,Miami Heat 2010-11 Postseason NBA Schedule
"Thu, Apr 21",Philadelphia ,W100-94  ,Wade  32,James  15,Wade  8,H,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, Apr 24",Philadelphia ,L86-82  ,James  31,Wade  8,James  6,H,Miami Heat 2010-11 Postseason NBA Schedule
"Wed, Apr 27", Philadelphia ,W97-91  ,Wade  26,Wade  11,James  8,A,Miami Heat 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, May 1", Boston ,W99-90  ,Wade  38,Bosh  12,Wade  5,A,Miami Heat 2010-11 Postseason NBA Schedule
"Tue, May 3", Boston ,W102-91  ,James  35,Bosh  11,Bosh  4,A,Miami Heat 2010-11 Postseason NBA Schedule
"Sat, May 7",Boston ,L97-81  ,Wade  23,Anthony  11,Wade  7,H,Miami Heat 2010-11 Postseason NBA Schedule
"Mon, May 9",Boston ,W98-90 OT ,James  35,James  14,Wade  4,H,Miami Heat 2010-11 Postseason NBA Schedule
"Wed, May 11", Boston ,W97-87  ,Wade  34,Bosh  11,Wade  5,A,Miami Heat 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, May 15",Chicago ,L103-82  ,Bosh  30,Bosh  9,James  6,H,Miami Heat 2010-11 Postseason NBA Schedule
"Wed, May 18",Chicago ,W85-75  ,James  29,James  10,James  5,H,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, May 22", Chicago ,W96-85  ,Bosh  34,Wade  9,James  10,A,Miami Heat 2010-11 Postseason NBA Schedule
"Tue, May 24", Chicago ,W101-93 OT ,James  35,Miller  9,James  6,A,Miami Heat 2010-11 Postseason NBA Schedule
"Thu, May 26",Chicago ,W83-80  ,James  28,James  11,James  6,H,Miami Heat 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2010-11 Postseason NBA Schedule
"Tue, May 31", Dallas ,W92-84  ,James  24,Wade  10,Wade  6,A,Miami Heat 2010-11 Postseason NBA Schedule
"Thu, Jun 2", Dallas ,L95-93  ,Wade  36,James  8,Wade  6,A,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, Jun 5",Dallas ,W88-86  ,Wade  29,Wade  11,James  9,H,Miami Heat 2010-11 Postseason NBA Schedule
"Tue, Jun 7",Dallas ,L86-83  ,Wade  32,James  9,James  7,H,Miami Heat 2010-11 Postseason NBA Schedule
"Thu, Jun 9",Dallas ,L112-103  ,Wade  23,Bosh  10,James  10,H,Miami Heat 2010-11 Postseason NBA Schedule
"Sun, Jun 12", Dallas ,L105-95  ,James  21,Haslem  9,Chalmers  7,A,Miami Heat 2010-11 Postseason NBA Schedule
