DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16", Toronto ,W131-111  ,Maxey  38,Embiid  15,Harden  14,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Mon, Apr 18", Toronto ,W112-97  ,Embiid  31,Embiid  11,Maxey  8,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Wed, Apr 20",Toronto ,W104-101 OT ,Embiid  33,Embiid  13,Harden  10,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Sat, Apr 23",Toronto ,L110-102  ,Harden  22,Harris  11,Harden  9,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Mon, Apr 25", Toronto ,L103-88  ,Embiid  20,Embiid  11,Harden  7,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Thu, Apr 28",Toronto ,W132-97  ,Embiid  33,Harris  11,Harden  15,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Mon, May 2",Miami ,L106-92  ,Harris  27,Harden  9,Harden  5,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Wed, May 4",Miami ,L119-103  ,Maxey  34,Korkmaz  6,Harden  9,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Fri, May 6", Miami ,W99-79  ,Green  21,Embiid  11,Harris  8,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Sun, May 8", Miami ,W116-108  ,Harden  31,Embiid  11,Harden  9,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Tue, May 10",Miami ,L120-85  ,Embiid  17,Reed  8,Harden  4,H,Philadelphia 76ers 2021-22 Postseason NBA Schedule
"Thu, May 12", Miami ,L99-90  ,Embiid  20,Embiid  12,Harden  9,A,Philadelphia 76ers 2021-22 Postseason NBA Schedule
