DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Mar 16",Portland ,L112-101  ,23-45,Stuckey  32,Monroe  9,Monroe  6,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Mon, Mar 18", Brooklyn ,L119-82  ,23-46,Bynum  18,Monroe  7,Bynum  6,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Fri, Mar 22",Miami ,L103-89  ,23-47,Monroe  23,Monroe  15,Calderon  7,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Sat, Mar 23",Charlotte ,W92-91  ,24-47,Villanueva  18,Monroe  9,Stuckey  8,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Tue, Mar 26", Minnesota ,L105-82  ,24-48,Calderon  14,Monroe  12,Villanueva  4,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Fri, Mar 29", Toronto ,L99-82  ,24-49,Jerebko  20,Monroe  13,Calderon  7,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Sun, Mar 31",Chicago ,L95-94  ,24-50,Stuckey  25,Drummond  14,Calderon  5,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Mon, Apr 1",Toronto ,W108-98  ,25-50,Monroe  24,Jerebko  6,Calderon  9,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Wed, Apr 3",Boston ,L98-93  ,25-51,Monroe  24,Monroe  17,Villanueva  5,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Sat, Apr 6",Minnesota ,L107-101  ,25-52,Knight  25,Drummond  10,Knight  6,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Sun, Apr 7", Chicago ,W99-85  ,26-52,Knight  20,Drummond  10,Monroe  7,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Wed, Apr 10",Cleveland ,W111-104  ,27-52,Drummond  29,Drummond  11,Stuckey  7,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Fri, Apr 12", Charlotte ,W113-93  ,28-52,Jerebko  21,Drummond  9,Bynum  10,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Mon, Apr 15", Philadelphia ,W109-101  ,29-52,Monroe  27,Monroe  16,Bynum  6,A,Detroit Pistons 2012-13 Regular Season NBA Schedule
"Wed, Apr 17",Brooklyn ,L103-99  ,29-53,Bynum  23,Monroe  12,Knight  5,H,Detroit Pistons 2012-13 Regular Season NBA Schedule
