DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20",Houston ,W122-120 OT ,Aldridge  46,Aldridge  18,Lillard  5,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Wed, Apr 23",Houston ,W112-105  ,Aldridge  43,Lopez  10,Lillard  11,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Fri, Apr 25", Houston ,L121-116 OT ,Lillard  30,Aldridge  10,Lillard  6,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Sun, Apr 27", Houston ,W123-120 OT ,Aldridge  29,Lopez  11,Lillard  8,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Wed, Apr 30",Houston ,L108-98  ,Matthews  27,Lillard  8,Lillard  7,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Fri, May 2", Houston ,W99-98  ,Aldridge  30,Aldridge  13,Batum  7,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Tue, May 6",San Antonio ,L116-92  ,Aldridge  32,Aldridge  14,Williams  4,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Thu, May 8",San Antonio ,L114-97  ,Batum  21,Aldridge  10,Lillard  5,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Sat, May 10", San Antonio ,L118-103  ,Matthews  22,Aldridge  12,Lillard  9,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Mon, May 12", San Antonio ,W103-92  ,Lillard  25,Batum  14,Batum  8,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule
"Wed, May 14",San Antonio ,L104-82  ,Aldridge  21,Batum  12,Lillard  10,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule
