DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Toronto ,W114-100  ,Howard  25,Howard  22,Nelson  7,A,Orlando Magic 2007-08 Postseason NBA Schedule
"Tue, Apr 22", Toronto ,W104-103  ,Howard  29,Howard  20,Lewis  5,A,Orlando Magic 2007-08 Postseason NBA Schedule
"Thu, Apr 24",Toronto ,L108-94  ,Turkoglu  26,Howard  12,Nelson  6,H,Orlando Magic 2007-08 Postseason NBA Schedule
"Sat, Apr 26",Toronto ,W106-94  ,Lewis  27,Howard  16,Lewis  5,H,Orlando Magic 2007-08 Postseason NBA Schedule
"Mon, Apr 28", Toronto ,W102-92  ,Howard  21,Howard  21,Turkoglu  9,A,Orlando Magic 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Orlando Magic 2007-08 Postseason NBA Schedule
"Sat, May 3",Detroit ,L91-72  ,Turkoglu  18,Howard  8,Nelson  5,H,Orlando Magic 2007-08 Postseason NBA Schedule
"Mon, May 5",Detroit ,L100-93  ,Howard  22,Howard  18,Turkoglu  7,H,Orlando Magic 2007-08 Postseason NBA Schedule
"Wed, May 7", Detroit ,W111-86  ,Lewis  33,Howard  12,Turkoglu  6,A,Orlando Magic 2007-08 Postseason NBA Schedule
"Sat, May 10", Detroit ,L90-89  ,Turkoglu  20,Howard  12,Nelson  6,A,Orlando Magic 2007-08 Postseason NBA Schedule
"Tue, May 13",Detroit ,L91-86  ,Turkoglu  18,Howard  17,Turkoglu  7,H,Orlando Magic 2007-08 Postseason NBA Schedule
