DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Jan 27",LA ,L122-108  ,25-25,Fox  21,Cauley-Stein  12,Hield  5,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Jan 30", Atlanta ,W135-113  ,26-25,Giles III  20,Bagley III  12,Bogdanovic  7,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Feb 2", Philadelphia ,W115-108  ,27-25,Hield  34,Bagley III  13,Fox  8,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Feb 4", San Antonio ,W127-112  ,28-25,Bagley III  24,Bagley III  12,Fox  6,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Feb 6", Houston ,L127-101  ,28-26,Hield  20,Hield  10,Fox  6,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Feb 8", Miami ,W102-96  ,29-26,Hield  23,Hield  7,Ferrell  5,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Feb 10", Phoenix ,W117-104  ,30-26,Bagley III  32,Cauley-Stein  8,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Feb 13",Denver ,L120-118  ,30-27,Hield  25,Barnes  11,Fox  10,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Feb 21",Golden State ,L125-123  ,30-28,Bagley III  28,Bagley III  14,Fox  8,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Feb 23",Oklahoma City ,W119-116  ,31-28,Hield  34,Cauley-Stein  11,Fox  9,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Feb 25",Minnesota ,L112-105  ,31-29,Bagley III  25,Bagley III  11,Bogdanovic  6,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Feb 27", Milwaukee ,L141-140 OT ,31-30,Hield  32,Barnes  14,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Mar 1", LA ,L116-109  ,31-31,Hield  23,Cauley-Stein  12,Fox  12,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Mar 4", New York ,W115-108  ,32-31,Hield  28,Barnes  10,Hield  7,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Mar 6", Boston ,L111-109  ,32-32,Barnes  24,Barnes  8,Fox  7,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Mar 9",New York ,W102-94  ,33-32,Fox  30,Cauley-Stein  12,Fox  8,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Mar 11",Washington ,L121-115  ,33-33,Fox  23,Bjelica  12,Fox  8,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Mar 14",Boston ,L126-120  ,33-34,Hield  34,Cauley-Stein  13,Fox  9,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Mar 15",Philadelphia ,L123-114  ,33-35,Barnes  16,Cauley-Stein  7,Fox  6,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Mar 17", Chicago ,W129-102  ,34-35,Bagley III  21,Bagley III  9,Cauley-Stein  5,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Tue, Mar 19", Brooklyn ,L123-121  ,34-36,Bagley III  28,Bjelica  10,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Mar 21", Dallas ,W116-100  ,35-36,Hield  29,Cauley-Stein  18,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Mar 23", Phoenix ,W112-103  ,36-36,Hield  25,Bjelica  17,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Mar 24",Los Angeles ,L111-106  ,36-37,Bagley III  25,Bagley III  11,Bogdanovic  4,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Tue, Mar 26",Dallas ,W125-121  ,37-37,Fox  23,Cauley-Stein  7,Fox  8,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Mar 28",New Orleans ,L121-118  ,37-38,Hield  27,Cauley-Stein  12,Fox  12,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Mar 30",Houston ,L119-108  ,37-39,Bogdanovic  24,Bagley III  12,Fox  10,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Mar 31",San Antonio ,W113-106  ,38-39,Hield  26,Koufos  11,Bogdanovic  5,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Tue, Apr 2", Houston ,L130-105  ,38-40,Hield  20,Brewer  10,Hield  5,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Apr 4", Cleveland ,W117-104  ,39-40,Hield  23,Cauley-Stein  9,Fox  10,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Apr 5",Utah ,L119-98  ,39-41,Hield  17,Bagley III  12,Ferrell  5,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Apr 7", New Orleans ,L133-129  ,39-42,Barnes  29,Bagley III  14,Fox  11,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Apr 10",Portland ,L136-131  ,39-43,Bagley III  20,Bagley III  9,Fox  9,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
