DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 24", Memphis ,W114-103  ,Marion  26,Marion  13,Nash  13,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Wed, Apr 27", Memphis ,W108-103  ,Stoudemire  34,Marion  13,Nash  15,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Fri, Apr 29",Memphis ,W110-90  ,Stoudemire  30,Marion  13,Nash  8,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Sun, May 1",Memphis ,W123-115  ,Johnson  25,Marion  11,Nash  9,H,Phoenix Suns 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Mon, May 9", Dallas ,W127-102  ,Stoudemire  40,Stoudemire  16,Nash  13,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Wed, May 11", Dallas ,L108-106  ,Stoudemire  30,Stoudemire  16,Nash  13,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Fri, May 13",Dallas ,W119-102  ,Stoudemire  37,Stoudemire  14,Nash  17,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Sun, May 15",Dallas ,L119-109  ,Nash  48,Marion  12,Nash  5,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Wed, May 18", Dallas ,W114-108  ,Nash  34,Stoudemire  18,Nash  12,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Fri, May 20",Dallas ,W130-126 OT ,Nash  39,Marion  16,Nash  12,H,Phoenix Suns 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Sun, May 22", San Antonio ,L121-114  ,Stoudemire  41,Stoudemire  9,Nash  13,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Tue, May 24", San Antonio ,L111-108  ,Stoudemire  37,Marion  12,Nash  15,A,Phoenix Suns 2004-05 Postseason NBA Schedule
"Sat, May 28",San Antonio ,L102-92  ,Stoudemire  34,Stoudemire  11,Nash  3,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Mon, May 30",San Antonio ,W111-106  ,Stoudemire  31,Marion  14,Nash  12,H,Phoenix Suns 2004-05 Postseason NBA Schedule
"Wed, Jun 1", San Antonio ,L101-95  ,Stoudemire  42,Stoudemire  16,Nash  10,A,Phoenix Suns 2004-05 Postseason NBA Schedule
