DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Oct 7",Charlotte ,L100-88  ,0-1,Beal  18,Singleton  9,Mack  7,H,Washington Wizards 2012-13 Preseason NBA Schedule
"Thu, Oct 11", New York ,L108-101  ,0-2,,,,A,Washington Wizards 2012-13 Preseason NBA Schedule
"Sat, Oct 13",Cleveland ,W99-95  ,1-2,Beal  14,Randolph  9,Crawford  7,H,Washington Wizards 2012-13 Preseason NBA Schedule
"Mon, Oct 15",Brooklyn ,L98-88  ,1-3,Webster  18,Okafor  6,Webster  3,H,Washington Wizards 2012-13 Preseason NBA Schedule
"Wed, Oct 17",Toronto ,L104-101  ,1-3,Booker  12,Barron  8,Price  8,H,Washington Wizards 2012-13 Preseason NBA Schedule
"Sat, Oct 20",Milwaukee ,W102-94  ,2-3,Booker  22,Booker  7,Price  11,H,Washington Wizards 2012-13 Preseason NBA Schedule
"Wed, Oct 24", Miami,W101-94  ,3-4,,,,N,Washington Wizards 2012-13 Preseason NBA Schedule
"Fri, Oct 26",San Antonio ,L100-85  ,3-5,Vesely  13,Barron  10,Crawford  4,H,Washington Wizards 2012-13 Preseason NBA Schedule
