DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Jan 24",Atlanta ,W108-93  ,32-14,VanVleet  19,Valanciunas  13,VanVleet  5,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Jan 26", Utah ,L97-93  ,32-15,Valanciunas  28,Valanciunas  14,DeRozan  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Jan 28", Los Angeles ,W123-111  ,33-15,VanVleet  25,Lowry  11,DeRozan  7,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Jan 30", Minnesota ,W109-104  ,34-15,DeRozan  23,Valanciunas  11,Lowry  9,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Thu, Feb 1",Washington ,L122-119  ,34-16,Lowry  29,Valanciunas  6,DeRozan  6,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Feb 2", Portland ,W130-105  ,35-16,DeRozan  35,Valanciunas  8,Lowry  5,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Feb 4", Memphis ,W101-86  ,36-16,Wright  15,Valanciunas  9,VanVleet  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Feb 6", Boston ,W111-91  ,37-16,Lowry  23,Lowry  8,VanVleet  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Thu, Feb 8", New York ,W113-88  ,38-16,Valanciunas  18,Valanciunas  10,Siakam  6,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Feb 11",Charlotte ,W123-103  ,39-16,DeRozan  25,Valanciunas  9,DeRozan  8,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Feb 13", Miami ,W115-112  ,40-16,DeRozan  27,Ibaka  10,Lowry  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Feb 14",Chicago ,W122-98  ,41-16,Lowry  20,Valanciunas  9,Lowry  10,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Feb 23", Milwaukee ,L122-119 OT ,41-17,DeRozan  33,DeRozan  8,Lowry  7,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Mon, Feb 26", Detroit ,W123-94  ,42-17,Lowry  20,Ibaka  9,DeRozan  7,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Feb 28",Orlando ,W117-104  ,43-17,DeRozan  21,Poeltl  8,Lowry  11,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Mar 2",Washington ,W102-95  ,44-17,DeRozan  23,Lowry  7,Lowry  5,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Mar 4", Charlotte ,W103-98  ,45-17,DeRozan  19,Valanciunas  13,DeRozan  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Mar 6", Atlanta ,W106-90  ,46-17,DeRozan  25,Poeltl  9,VanVleet  7,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Mar 7",Detroit ,W121-119 OT ,47-17,DeRozan  42,Valanciunas  11,Lowry  15,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Mar 9", Houston ,W108-105  ,48-17,Lowry  30,Valanciunas  10,Lowry  6,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Mar 11",New York ,W132-106  ,49-17,Valanciunas  17,Valanciunas  9,Lowry  7,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Mar 13",Brooklyn ,W116-102  ,50-17,Valanciunas  26,Valanciunas  14,Lowry  11,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Thu, Mar 15",Indiana ,W106-99  ,51-17,DeRozan  24,Valanciunas  18,DeRozan  7,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Mar 16", Dallas ,W122-115 OT ,52-17,DeRozan  29,Valanciunas  12,VanVleet  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Mar 18", Oklahoma City ,L132-125  ,52-18,DeRozan  24,Ibaka  6,Lowry  10,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Mar 20",Orlando ,W93-86  ,53-18,Lowry  25,Valanciunas  8,Lowry  8,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Mar 21",Cleveland ,L132-129  ,53-19,Lowry  24,Poeltl  8,Lowry  7,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Mar 23", Brooklyn ,W116-112  ,54-19,Lowry  25,Lowry  10,Lowry  12,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Mar 25", LA ,L117-106  ,54-20,Valanciunas  16,Valanciunas  10,Lowry  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Mar 27", Denver ,W114-110  ,55-20,Valanciunas  15,Poeltl  8,DeRozan  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sat, Mar 31",Boston ,L110-99  ,55-21,DeRozan  32,Valanciunas  11,Lowry  9,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Apr 3",Cleveland ,L112-106  ,55-22,DeRozan  19,Ibaka  12,DeRozan  7,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Apr 4", Boston ,W96-78  ,56-22,DeRozan  16,Wright  9,Wright  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Apr 6", Indiana ,W92-73  ,57-22,Ibaka  25,Valanciunas  12,Lowry  9,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Apr 8", Orlando ,W112-101  ,58-22,Miles  22,Siakam  9,Lowry  7,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Mon, Apr 9",Detroit ,W108-98  ,59-22,Valanciunas  25,Valanciunas  9,Lowry  9,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Apr 11",Miami ,L116-109 OT ,59-23,Lowry  28,Poeltl  12,Lowry  9,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
