DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 19", Miami ,W90-64  ,Smith  23,Smith  10,Bibby  9,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Wed, Apr 22", Miami ,L108-93  ,Bibby  18,Horford  11,Horford  5,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Sat, Apr 25",Miami ,L107-78  ,Smith  13,Smith  8,Bibby  3,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Mon, Apr 27",Miami ,W81-71  ,Bibby  15,Pachulia  18,Johnson  5,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Wed, Apr 29", Miami ,W106-91  ,Johnson  25,Smith  8,Johnson  6,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Fri, May 1",Miami ,L98-72  ,Bibby  20,Smith  10,Bibby  3,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Sun, May 3", Miami ,W91-78  ,Johnson  27,Smith  9,Bibby  6,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Tue, May 5",Cleveland ,L99-72  ,Smith  22,Horford  8,Bibby  8,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Thu, May 7",Cleveland ,L105-85  ,Evans  16,Pachulia  12,Evans  4,H,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Sat, May 9", Cleveland ,L97-82  ,Johnson  21,Johnson  5,Bibby  5,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
"Mon, May 11", Cleveland ,L84-74  ,Smith  26,Smith  8,Johnson  7,A,Atlanta Hawks 2008-09 Postseason NBA Schedule
