DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Aug 17", Utah ,W135-125 OT ,Murray  36,Jokic  10,Murray  9,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Wed, Aug 19", Utah ,L124-105  ,Jokic  28,Jokic  11,Jokic  6,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Fri, Aug 21",Utah ,L124-87  ,Jokic  15,Dozier  6,Jokic  6,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sun, Aug 23",Utah ,L129-127  ,Murray  50,Murray  11,Murray  7,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Tue, Aug 25", Utah ,W117-107  ,Murray  42,Murray  8,Murray  8,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sun, Aug 30",Utah ,W119-107  ,Murray  50,Porter Jr.  12,Jokic  9,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Tue, Sep 1", Utah ,W80-78  ,Jokic  30,Jokic  14,Morris  5,A,Denver Nuggets 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Thu, Sep 3",LA ,L120-97  ,Jokic  15,Millsap  9,Murray  6,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sat, Sep 5",LA ,W110-101  ,Murray  27,Jokic  18,Murray  6,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Mon, Sep 7", LA ,L113-107  ,Jokic  32,Jokic  12,Murray  9,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Wed, Sep 9", LA ,L96-85  ,Jokic  26,Jokic  11,Murray  7,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Fri, Sep 11",LA ,W111-105  ,Murray  26,Jokic  14,Murray  7,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sun, Sep 13", LA ,W111-98  ,Jokic  34,Jokic  14,Jokic  7,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Tue, Sep 15",LA ,W104-89  ,Murray  40,Jokic  22,Jokic  13,H,Denver Nuggets 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Fri, Sep 18",Los Angeles ,L126-114  ,Jokic  21,Porter Jr.  10,Murray  5,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sun, Sep 20",Los Angeles ,L105-103  ,Jokic  30,Millsap  8,Jokic  9,H,Denver Nuggets 2019-20 Postseason NBA Schedule
"Tue, Sep 22", Los Angeles ,W114-106  ,Murray  28,Jokic  10,Murray  12,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Thu, Sep 24", Los Angeles ,L114-108  ,Murray  32,Porter Jr.  8,Murray  8,A,Denver Nuggets 2019-20 Postseason NBA Schedule
"Sat, Sep 26",Los Angeles ,L117-107  ,Grant  20,Grant  9,Murray  8,H,Denver Nuggets 2019-20 Postseason NBA Schedule
