DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Atlanta ,W104-81  ,Allen  18,Garnett  10,Rondo  9,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Wed, Apr 23", Atlanta ,W96-77  ,Garnett  19,Garnett  10,Rondo  8,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Sat, Apr 26",Atlanta ,L102-93  ,Garnett  32,Garnett  10,Pierce  8,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Mon, Apr 28",Atlanta ,L97-92  ,Allen  21,Garnett  9,Rondo  12,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Wed, Apr 30", Atlanta ,W110-85  ,Pierce  22,Pierce  7,Garnett  7,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Fri, May 2",Atlanta ,L103-100  ,Garnett  22,Garnett  7,Garnett  6,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Sun, May 4", Atlanta ,W99-65  ,Pierce  22,Garnett  11,Rondo  6,A,Boston Celtics 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Tue, May 6", Cleveland ,W76-72  ,Garnett  28,Perkins  12,Rondo  6,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Thu, May 8", Cleveland ,W89-73  ,Pierce  19,Garnett  12,Rondo  6,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Sat, May 10",Cleveland ,L108-84  ,Garnett  17,Garnett  9,Pierce  5,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Mon, May 12",Cleveland ,L88-77  ,Garnett  15,Garnett  10,Garnett  4,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Wed, May 14", Cleveland ,W96-89  ,Pierce  29,Garnett  16,Rondo  13,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Fri, May 16",Cleveland ,L74-69  ,Garnett  25,Garnett  8,Rondo  5,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Sun, May 18", Cleveland ,W97-92  ,Pierce  41,Garnett  13,Rondo  8,A,Boston Celtics 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Tue, May 20", Detroit ,W88-79  ,Garnett  26,Perkins  10,Rondo  7,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Thu, May 22", Detroit ,L103-97  ,Pierce  26,Garnett  13,Rondo  8,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Sat, May 24",Detroit ,W94-80  ,Garnett  22,Garnett  13,Garnett  6,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Mon, May 26",Detroit ,L94-75  ,Garnett  16,Garnett  10,Rondo  4,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Wed, May 28", Detroit ,W106-102  ,Garnett  33,Perkins  16,Rondo  13,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Fri, May 30",Detroit ,W89-81  ,Pierce  27,Pierce  8,Garnett  4,H,Boston Celtics 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Thu, Jun 5", Los Angeles ,W98-88  ,Garnett  24,Garnett  13,Rondo  7,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Sun, Jun 8", Los Angeles ,W108-102  ,Pierce  28,Garnett  14,Rondo  16,A,Boston Celtics 2007-08 Postseason NBA Schedule
"Tue, Jun 10",Los Angeles ,L87-81  ,Allen  25,Garnett  12,Garnett  5,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Thu, Jun 12",Los Angeles ,W97-91  ,Pierce  20,Garnett  11,Pierce  7,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Sun, Jun 15",Los Angeles ,L103-98  ,Pierce  38,Garnett  14,Pierce  8,H,Boston Celtics 2007-08 Postseason NBA Schedule
"Tue, Jun 17", Los Angeles ,W131-92  ,Garnett  26,Garnett  14,Pierce  10,A,Boston Celtics 2007-08 Postseason NBA Schedule
