DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Aug 18", Orlando ,L122-110  ,Antetokounmpo  31,Antetokounmpo  17,Antetokounmpo  7,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Thu, Aug 20", Orlando ,W111-96  ,Antetokounmpo  28,Antetokounmpo  20,Bledsoe  7,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Sat, Aug 22",Orlando ,W121-107  ,Antetokounmpo  35,Antetokounmpo  11,Bledsoe  8,H,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Mon, Aug 24",Orlando ,W121-106  ,Antetokounmpo  31,Antetokounmpo  15,Antetokounmpo  8,H,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Sat, Aug 29", Orlando ,W118-104  ,Antetokounmpo  28,Antetokounmpo  17,Bledsoe  8,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Mon, Aug 31", Miami ,L115-104  ,Middleton  28,Antetokounmpo  10,Antetokounmpo  9,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Wed, Sep 2", Miami ,L116-114  ,Antetokounmpo  29,Antetokounmpo  14,Middleton  8,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Fri, Sep 4",Miami ,L115-100  ,Lopez  22,Antetokounmpo  16,Antetokounmpo  9,H,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Sun, Sep 6",Miami ,W118-115 OT ,Middleton  36,Bledsoe  10,Middleton  8,H,Milwaukee Bucks 2019-20 Postseason NBA Schedule
"Tue, Sep 8", Miami ,L103-94  ,Middleton  23,Lopez  14,Bledsoe  9,A,Milwaukee Bucks 2019-20 Postseason NBA Schedule
