DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Mar 19", Miami ,L111-100  ,19-46,Curry  18,Rose  8,Marbury  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Tue, Mar 21", Toronto ,L114-109  ,19-47,Frye  19,Woods  10,Marbury  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Mar 22",Orlando ,L111-87  ,19-48,Curry  15,Butler  8,Marbury  5,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Mar 24", Memphis ,L91-75  ,19-49,Curry  19,Curry  10,Francis  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Mar 26",Minnesota ,L98-94  ,19-50,Crawford  20,Lee  9,Marbury  9,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Mar 29", Boston ,L123-98  ,19-51,Curry  20,Curry  8,Marbury  3,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Mar 31", Philadelphia ,L117-112  ,19-52,Robinson  34,Curry  9,Rose  5,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Apr 2",Philadelphia ,L114-95  ,19-53,Crawford  23,Curry  6,Robinson  6,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Tue, Apr 4",Washington ,L105-90  ,19-54,Butler  22,Butler  8,Robinson  6,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Apr 5", Cleveland ,W96-94  ,20-54,Crawford  37,Butler  9,Francis  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Apr 7", Indiana ,W98-96  ,21-54,Crawford  23,Woods  9,Crawford  3,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Apr 9",Boston ,W101-86  ,22-54,Crawford  31,Crawford  11,Francis  6,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Apr 10",Indiana ,L101-82  ,22-55,Crawford  26,Rose  6,Crawford  7,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Thu, Apr 13",Cleveland ,L91-87  ,22-56,Robinson  32,Rose  7,Crawford  9,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Apr 14", Milwaukee ,L97-80  ,22-57,Taylor  22,Curry  7,Crawford  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Apr 16",Detroit ,L103-97  ,22-58,Robinson  23,Butler  9,Crawford  6,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Apr 17", Charlotte ,L98-91  ,22-59,Crawford  24,Woods  7,Crawford  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Apr 19",New Jersey ,W90-83  ,23-59,Crawford  23,Lee  7,Crawford  11,H,New York Knicks 2005-06 Regular Season NBA Schedule
