DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 24",Chicago ,L103-94  ,Hughes  31,Brown  9,Arenas  8,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Wed, Apr 27",Chicago ,L113-103  ,Arenas  39,Hughes  10,Hughes  5,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Sat, Apr 30", Chicago ,W117-99  ,Arenas  32,Thomas  9,Arenas  7,A,Washington Wizards 2004-05 Postseason NBA Schedule
"Mon, May 2", Chicago ,W106-99  ,Dixon  35,Thomas  9,Arenas  5,A,Washington Wizards 2004-05 Postseason NBA Schedule
"Wed, May 4",Chicago ,W112-110  ,Hughes  33,Jamison  10,Arenas  8,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Fri, May 6", Chicago ,W94-91  ,Hughes  21,Haywood  8,Arenas  7,A,Washington Wizards 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Sun, May 8",Miami ,L105-86  ,Arenas  25,Jamison  8,Hughes  3,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Tue, May 10",Miami ,L108-102  ,Jamison  32,Hughes  8,Arenas  5,H,Washington Wizards 2004-05 Postseason NBA Schedule
"Thu, May 12", Miami ,L102-95  ,Jamison  21,Haywood  8,Arenas  14,A,Washington Wizards 2004-05 Postseason NBA Schedule
"Sat, May 14", Miami ,L99-95  ,Arenas  25,Haywood  15,Hughes  5,A,Washington Wizards 2004-05 Postseason NBA Schedule
