DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Dallas ,W90-85  ,Duncan  27,Splitter  11,Parker  6,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Wed, Apr 23", Dallas ,L113-92  ,Ginobili  27,Duncan  7,Ginobili  4,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sat, Apr 26",Dallas ,L109-108  ,Duncan  22,Splitter  13,Parker  6,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Mon, Apr 28",Dallas ,W93-89  ,Ginobili  23,Splitter  12,Ginobili  5,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Wed, Apr 30", Dallas ,W109-103  ,Parker  23,Splitter  12,Diaw  6,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Fri, May 2",Dallas ,L113-111  ,Parker  22,Duncan  9,Parker  6,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sun, May 4", Dallas ,W119-96  ,Parker  32,Duncan  8,Ginobili  5,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Tue, May 6", Portland ,W116-92  ,Parker  33,Duncan  11,Parker  9,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Thu, May 8", Portland ,W114-97  ,Leonard  20,Splitter  10,Parker  10,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sat, May 10",Portland ,W118-103  ,Parker  29,Leonard  10,Parker  6,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Mon, May 12",Portland ,L103-92  ,Parker  14,Duncan  9,Leonard  3,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Wed, May 14", Portland ,W104-82  ,Green  22,Green  9,Splitter  7,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Mon, May 19", Oklahoma City ,W122-105  ,Duncan  27,Splitter  8,Parker  12,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Wed, May 21", Oklahoma City ,W112-77  ,Parker  22,Duncan  12,Parker  5,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sun, May 25",Oklahoma City ,L106-97  ,Ginobili  23,Duncan  8,Diaw  6,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Tue, May 27",Oklahoma City ,L105-92  ,Diaw  14,Diaw  10,Parker  4,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Thu, May 29", Oklahoma City ,W117-89  ,Duncan  22,Duncan  12,Ginobili  6,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sat, May 31",Oklahoma City ,W112-107 OT ,Diaw  26,Duncan  16,Ginobili  5,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Thu, Jun 5", Miami ,W110-95  ,Duncan  21,Duncan  10,Ginobili  11,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sun, Jun 8", Miami ,L98-96  ,Parker  21,Duncan  15,Parker  7,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Tue, Jun 10",Miami ,W111-92  ,Leonard  29,Duncan  6,Parker  4,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Thu, Jun 12",Miami ,W107-86  ,Leonard  20,Leonard  14,Diaw  9,H,San Antonio Spurs 2013-14 Postseason NBA Schedule
"Sun, Jun 15", Miami ,W104-87  ,Leonard  22,Leonard  10,Diaw  6,A,San Antonio Spurs 2013-14 Postseason NBA Schedule
