DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", Brooklyn ,W115-114  ,Tatum  31,Horford  15,Tatum  8,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Wed, Apr 20", Brooklyn ,W114-107  ,Brown  22,Tatum  6,Tatum  10,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Sat, Apr 23",Brooklyn ,W109-103  ,Tatum  39,Theis  6,Tatum  6,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Mon, Apr 25",Brooklyn ,W116-112  ,Tatum  29,Brown  8,Smart  11,H,Boston Celtics 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Sun, May 1", Milwaukee ,L101-89  ,Tatum  21,Horford  10,Tatum  6,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Tue, May 3", Milwaukee ,W109-86  ,Brown  30,Horford  11,Tatum  8,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Sat, May 7",Milwaukee ,L103-101  ,Brown  27,Horford  16,Horford  5,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Mon, May 9",Milwaukee ,W116-108  ,Tatum  30,Tatum  13,Smart  8,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Wed, May 11", Milwaukee ,L110-107  ,Tatum  34,Brown  8,Brown  6,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Fri, May 13",Milwaukee ,W108-95  ,Tatum  46,Horford  10,Smart  7,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Sun, May 15", Milwaukee ,W109-81  ,Williams  27,Horford  10,Smart  10,A,Boston Celtics 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Tue, May 17",Miami ,L118-107  ,Tatum  29,Brown  10,Tatum  6,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Thu, May 19",Miami ,W127-102  ,Tatum  27,Smart  9,Smart  12,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Sat, May 21", Miami ,L109-103  ,Brown  40,Horford  14,Smart  7,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Mon, May 23", Miami ,W102-82  ,Tatum  31,Horford  13,White  6,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Wed, May 25",Miami ,W93-80  ,Brown  25,Tatum  12,Tatum  9,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Fri, May 27", Miami ,L111-103  ,Tatum  30,Tatum  9,White  5,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Sun, May 29",Miami ,W100-96  ,Tatum  26,Horford  14,Tatum  6,H,Boston Celtics 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Thu, Jun 2",Golden State ,W120-108  ,Horford  26,Brown  7,Tatum  13,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Sun, Jun 5",Golden State ,L107-88  ,Tatum  28,Horford  8,Smart  5,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Wed, Jun 8", Golden State ,W116-100  ,Brown  27,Williams III  10,Tatum  9,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Fri, Jun 10", Golden State ,L107-97  ,Tatum  23,Williams III  12,Tatum  6,A,Boston Celtics 2021-22 Postseason NBA Schedule
"Mon, Jun 13",Golden State ,L104-94  ,Tatum  27,Tatum  10,Tatum  4,H,Boston Celtics 2021-22 Postseason NBA Schedule
"Thu, Jun 16", Golden State ,L103-90  ,Brown  34,Horford  14,Smart  9,A,Boston Celtics 2021-22 Postseason NBA Schedule
