DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Thu, Jan 26",Miami ,W107-98  ,27-15,Bell  22,Marion  12,Nash  14,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Jan 27",Atlanta ,W110-106  ,28-15,Diaw  25,Diaw  8,Nash  9,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Jan 29",Cleveland ,L113-106  ,28-16,Nash  24,Marion  7,Barbosa  8,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Jan 31",Philadelphia ,W123-99  ,29-16,Bell  21,Marion  12,Diaw  13,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Feb 1",Boston ,W102-94  ,30-16,Marion  21,Marion  12,Nash  8,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Feb 4", Chicago ,W118-101  ,31-16,Marion  26,Diaw  12,Nash  7,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Feb 6", Minnesota ,L103-101  ,31-17,Nash  31,Marion  12,Nash  6,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Feb 8", Memphis ,W108-102  ,32-17,Barbosa  24,Marion  16,Nash  10,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Feb 10", Sacramento ,W112-104  ,33-17,Nash  24,Thomas  9,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Feb 15",Denver ,W116-101  ,34-17,Marion  21,Marion  12,Nash  12,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Feb 16", Houston ,W109-75  ,35-17,Nash  21,Marion  12,Nash  8,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Feb 22", Boston ,W103-94  ,36-17,Marion  44,Marion  15,Diaw  6,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Feb 25", Charlotte ,W136-121  ,37-17,Marion  31,Marion  24,Nash  8,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Feb 27",Houston ,W111-94  ,38-17,Marion  30,Marion  18,Nash  10,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Mar 1", Milwaukee ,W123-110  ,39-17,Marion  29,Marion  18,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Mar 3", Orlando ,W123-118  ,40-17,Marion  24,Marion  9,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Mar 5",Dallas ,W115-107  ,41-17,Nash  25,Diaw  10,Nash  11,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Mar 6","NO/Oklahoma City
 ",W101-88  ,42-17,Diaw  20,Marion  16,Nash  7,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Mar 9", San Antonio ,L117-93  ,42-18,Marion  18,Marion  11,Diaw  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Mar 11", Minnesota ,W110-102  ,43-18,Nash  31,Marion  16,Nash  11,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Mar 12",Portland ,L111-101  ,43-19,Marion  20,Marion  10,Nash  16,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Mar 14",Seattle ,W129-120  ,44-19,Bell  25,Marion  11,Nash  8,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Mar 15", LA ,W126-95  ,45-19,Nash  25,Marion  12,Nash  12,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Mar 17",San Antonio ,L108-102  ,45-20,Nash  30,Marion  12,Diaw  7,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Mar 21",Utah ,L107-99  ,45-21,Nash  20,Marion  9,Nash  10,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Mar 23", Portland ,W125-108  ,46-21,Stoudemire  20,Stoudemire  9,Diaw  6,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Mar 25", Denver ,W107-96  ,47-21,Marion  21,Marion  14,Diaw  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Mar 27",New Jersey ,L110-72  ,47-22,Marion  17,Marion  12,Diaw  6,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Mar 28",Milwaukee ,L132-110  ,47-23,Nash  23,Marion  9,Diaw  9,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Mar 30",Indiana ,W114-104  ,48-23,Marion  29,Marion  8,Nash  13,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Mar 31",Toronto ,W140-126  ,49-23,Barbosa  28,Marion  12,Nash  10,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Apr 2",Detroit ,L109-102  ,49-24,Marion  32,Marion  10,Nash  9,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Apr 5", LA ,L119-105  ,49-25,Diaw  24,Marion  15,Diaw  7,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Apr 7", Los Angeles ,W107-96  ,50-25,Nash  25,Marion  14,Nash  8,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Apr 9",Seattle ,L116-114  ,50-26,Bell  23,Diaw  12,Nash  11,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Apr 11",Sacramento ,W123-110  ,51-26,Bell  25,Marion  8,Nash  13,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Apr 13", Dallas ,W117-104  ,52-26,Marion  29,Diaw  8,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Apr 14",Golden State ,L110-102  ,52-27,Marion  31,Marion  12,Diaw  16,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Apr 16",Los Angeles ,L109-89  ,52-28,Marion  29,Diaw  10,Diaw  12,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Apr 17"," NO/Oklahoma City
 ",W115-78  ,53-28,Barbosa  21,Jones  10,Nash  6,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Apr 19",Portland ,W106-96  ,54-28,Marion  32,Marion  11,Nash  12,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
