DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 23", Indiana ,L90-88  ,Carter  31,Carter  13,Kidd  8,A,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Tue, Apr 25", Indiana ,W90-75  ,Carter  33,Kidd  11,Kidd  13,A,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Thu, Apr 27",Indiana ,L107-95  ,Carter  25,Kidd  6,Jefferson  7,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Sat, Apr 29",Indiana ,W97-88  ,Carter  28,Krstic  8,Kidd  8,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Tue, May 2", Indiana ,W92-86  ,Carter  34,Carter  15,Kidd  15,A,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Thu, May 4",Indiana ,W96-90  ,Jefferson  30,Kidd  12,Kidd  11,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Mon, May 8",Miami ,W100-88  ,Carter  27,Kidd  9,Kidd  7,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Wed, May 10",Miami ,L111-89  ,Carter  22,Krstic  7,Kidd  6,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Fri, May 12", Miami ,L103-92  ,Carter  43,Collins  11,Kidd  12,A,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Sun, May 14", Miami ,L102-92  ,Carter  26,Krstic  14,Kidd  12,A,Brooklyn Nets 2005-06 Postseason NBA Schedule
"Tue, May 16",Miami ,L106-105  ,Jefferson  33,Jefferson  7,Kidd  8,H,Brooklyn Nets 2005-06 Postseason NBA Schedule
