DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 27",Denver ,L110-88  ,0-1,Williams  17,Millsap  8,Williams  6,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Thu, Oct 28", Phoenix ,L110-94  ,0-2,Jefferson  20,Millsap  13,Williams  6,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Sun, Oct 31",Oklahoma City ,W120-99  ,1-2,Millsap  30,Millsap  16,Williams  15,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Wed, Nov 3", Toronto ,W125-108  ,2-2,Jefferson  27,Williams  8,Williams  14,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Fri, Nov 5",Golden State ,L85-78  ,2-3,Williams  23,Jefferson  15,Williams  6,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Sat, Nov 6", LA ,W109-107 2OT ,3-3,Williams  30,Millsap  13,Williams  7,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Tue, Nov 9",Miami ,W116-114 OT ,4-3,Millsap  46,Millsap  9,Williams  14,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Wed, Nov 10",Orlando ,W104-94  ,5-3,Williams  30,Jefferson  8,Williams  14,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Fri, Nov 12",Atlanta ,W90-86  ,6-3,Williams  24,Kirilenko  12,Williams  11,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Sat, Nov 13",Charlotte ,W96-95  ,7-3,Jefferson  19,Kirilenko  7,Williams  9,H,Utah Jazz 2010-11 Regular Season NBA Schedule
"Mon, Nov 15", Oklahoma City ,L115-108  ,7-4,Williams  31,Millsap  6,Williams  11,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Wed, Nov 17", New Jersey ,W98-88  ,8-4,Williams  23,Millsap  15,Williams  8,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Fri, Nov 19", San Antonio ,L94-82  ,8-5,Williams  23,Millsap  7,Williams  5,A,Utah Jazz 2010-11 Regular Season NBA Schedule
"Sat, Nov 20",Portland ,W103-94  ,9-5,Miles  25,Jefferson  14,Williams  11,H,Utah Jazz 2010-11 Regular Season NBA Schedule
