DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Aug 17", Philadelphia ,W109-101  ,Tatum  32,Tatum  13,Walker  5,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Wed, Aug 19", Philadelphia ,W128-101  ,Tatum  33,Freedom  9,Tatum  5,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Fri, Aug 21",Philadelphia ,W102-94  ,Walker  24,Walker  8,Walker  4,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Sun, Aug 23",Philadelphia ,W110-106  ,Walker  32,Tatum  15,Walker  4,H,Boston Celtics 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Sun, Aug 30",Toronto ,W112-94  ,Tatum  21,Theis  15,Walker  10,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Tue, Sep 1",Toronto ,W102-99  ,Tatum  34,Theis  9,Tatum  6,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Thu, Sep 3", Toronto ,L104-103  ,Walker  29,Brown  12,Tatum  6,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Sat, Sep 5", Toronto ,L100-93  ,Tatum  24,Tatum  10,Walker  8,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Mon, Sep 7",Toronto ,W111-89  ,Brown  27,Tatum  10,Walker  7,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Wed, Sep 9", Toronto ,L125-122 2OT ,Brown  31,Brown  16,Smart  10,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Fri, Sep 11",Toronto ,W92-87  ,Tatum  29,Tatum  12,Tatum  7,H,Boston Celtics 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Tue, Sep 15", Miami ,L117-114 OT ,Tatum  30,Tatum  14,Walker  6,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Thu, Sep 17", Miami ,L106-101  ,Walker  23,Theis  8,Tatum  4,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Sat, Sep 19",Miami ,W117-106  ,Brown  26,Tatum  14,Tatum  8,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Wed, Sep 23",Miami ,L112-109  ,Tatum  28,Tatum  9,Smart  11,H,Boston Celtics 2019-20 Postseason NBA Schedule
"Fri, Sep 25", Miami ,W121-108  ,Tatum  31,Theis  13,Smart  8,A,Boston Celtics 2019-20 Postseason NBA Schedule
"Sun, Sep 27",Miami ,L125-113  ,Brown  26,Brown  8,Tatum  11,H,Boston Celtics 2019-20 Postseason NBA Schedule
