DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 18", Los Angeles ,W123-109  ,1-0,Curry  33,Wiseman  7,Curry  7,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Fri, Oct 21", Denver ,L128-123  ,1-1,Curry  34,Wiggins  8,Green  9,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Sun, Oct 23", Sacramento ,W130-125  ,2-1,Curry  33,Looney  8,Looney  6,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Tue, Oct 25",Phoenix ,L134-105  ,2-2,Curry  21,Green  8,Curry  8,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Thu, Oct 27", Miami ,W123-110  ,3-2,Curry  33,Wiggins  10,Curry  9,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Sat, Oct 29",Charlotte ,L120-113 OT ,3-3,Curry  31,Curry  11,Curry  6,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Sun, Oct 30",Detroit ,L128-114  ,3-4,Curry  32,Looney  9,Green  7,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Tue, Nov 1",Miami ,L116-109  ,3-5,Curry  23,Curry  13,Curry  13,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Thu, Nov 3",Orlando ,L130-129  ,3-6,Curry  39,Looney  7,Curry  9,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Fri, Nov 4",New Orleans ,L114-105  ,3-7,Poole  20,Jerome  6,Poole  9,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Mon, Nov 7", Sacramento ,W116-113  ,4-7,Curry  47,Looney  13,Curry  8,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Fri, Nov 11", Cleveland ,W106-101  ,5-7,Curry  40,Looney  9,Green  13,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Sun, Nov 13",Sacramento ,L122-115  ,5-8,Curry  27,Looney  10,Green  11,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Mon, Nov 14", San Antonio ,W132-95  ,6-8,Poole  36,Green  7,Green  6,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Wed, Nov 16",Phoenix ,L130-119  ,6-9,Curry  50,Curry  9,Green  8,H,Golden State Warriors 2022-23 Regular Season NBA Schedule
"Fri, Nov 18", New York ,W111-101  ,7-9,Curry  24,Green  9,Curry  10,A,Golden State Warriors 2022-23 Regular Season NBA Schedule
