DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 16", Portland ,W121-109  ,Durant  32,Green  12,Green  9,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Wed, Apr 19", Portland ,W110-81  ,Curry  19,Green  12,Green  10,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Sat, Apr 22",Portland ,W119-113  ,Curry  34,Green  8,Curry  8,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Mon, Apr 24",Portland ,W128-103  ,Curry  37,Curry  7,Curry  8,H,Golden State Warriors 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Tue, May 2", Utah ,W106-94  ,Curry  22,Green  8,West  7,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Thu, May 4", Utah ,W115-104  ,Durant  25,Durant  11,Durant  7,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Sat, May 6",Utah ,W102-91  ,Durant  38,Durant  13,Green  5,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Mon, May 8",Utah ,W121-95  ,Curry  30,Green  10,Green  11,H,Golden State Warriors 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Sun, May 14", San Antonio ,W113-111  ,Curry  40,Pachulia  9,Green  7,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Tue, May 16", San Antonio ,W136-100  ,Curry  29,Green  9,Curry  7,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Sat, May 20",San Antonio ,W120-108  ,Durant  33,Durant  10,Green  7,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Mon, May 22",San Antonio ,W129-115  ,Curry  36,Durant  12,Green  8,H,Golden State Warriors 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Thu, Jun 1", Cleveland ,W113-91  ,Durant  38,Green  11,Curry  10,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Sun, Jun 4", Cleveland ,W132-113  ,Durant  33,Durant  13,Curry  11,A,Golden State Warriors 2016-17 Postseason NBA Schedule
"Wed, Jun 7",Cleveland ,W118-113  ,Durant  31,Curry  13,Green  7,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Fri, Jun 9",Cleveland ,L137-116  ,Durant  35,Green  14,Curry  10,H,Golden State Warriors 2016-17 Postseason NBA Schedule
"Mon, Jun 12", Cleveland ,W129-120  ,Durant  39,Green  12,Curry  10,A,Golden State Warriors 2016-17 Postseason NBA Schedule
