DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, May 22", Miami ,W109-107 OT ,Middleton  27,Antetokounmpo  18,Middleton  6,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Mon, May 24", Miami ,W132-98  ,Antetokounmpo  31,Antetokounmpo  13,Holiday  15,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Thu, May 27",Miami ,W113-84  ,Middleton  22,Antetokounmpo  17,Holiday  12,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sat, May 29",Miami ,W120-103  ,Lopez  25,Antetokounmpo  12,Antetokounmpo  15,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sat, Jun 5",Brooklyn ,L115-107  ,Antetokounmpo  34,Middleton  13,Holiday  6,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Mon, Jun 7",Brooklyn ,L125-86  ,Antetokounmpo  18,Antetokounmpo  11,Antetokounmpo  4,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Thu, Jun 10", Brooklyn ,W86-83  ,Middleton  35,Middleton  15,Holiday  5,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sun, Jun 13", Brooklyn ,W107-96  ,Antetokounmpo  34,Antetokounmpo  12,Holiday  9,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Tue, Jun 15",Brooklyn ,L114-108  ,Antetokounmpo  34,Antetokounmpo  12,Holiday  8,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Thu, Jun 17", Brooklyn ,W104-89  ,Middleton  38,Antetokounmpo  17,Middleton  5,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sat, Jun 19",Brooklyn ,W115-111 OT ,Antetokounmpo  40,Antetokounmpo  13,Holiday  8,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Wed, Jun 23", Atlanta ,L116-113  ,Antetokounmpo  34,Antetokounmpo  12,Holiday  10,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Fri, Jun 25", Atlanta ,W125-91  ,Antetokounmpo  25,Antetokounmpo  9,Middleton  8,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sun, Jun 27",Atlanta ,W113-102  ,Middleton  38,Middleton  11,Holiday  12,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Tue, Jun 29",Atlanta ,L110-88  ,Holiday  19,Middleton  8,Holiday  9,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Thu, Jul 1", Atlanta ,W123-112  ,Lopez  33,Middleton  13,Holiday  13,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sat, Jul 3",Atlanta ,W118-107  ,Middleton  32,Holiday  9,Holiday  9,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Tue, Jul 6",Phoenix ,L118-105  ,Middleton  29,Antetokounmpo  17,Holiday  9,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Thu, Jul 8",Phoenix ,L118-108  ,Antetokounmpo  42,Antetokounmpo  12,Middleton  8,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sun, Jul 11", Phoenix ,W120-100  ,Antetokounmpo  41,Antetokounmpo  13,Holiday  9,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Wed, Jul 14", Phoenix ,W109-103  ,Middleton  40,Antetokounmpo  14,Antetokounmpo  8,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Sat, Jul 17",Phoenix ,W123-119  ,Antetokounmpo  32,Antetokounmpo  9,Holiday  13,H,Milwaukee Bucks 2020-21 Postseason NBA Schedule
"Tue, Jul 20", Phoenix ,W105-98  ,Antetokounmpo  50,Antetokounmpo  14,Holiday  11,A,Milwaukee Bucks 2020-21 Postseason NBA Schedule
