DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 23", Milwaukee ,W92-74  ,Wallace  22,Wallace  17,Billups  7,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Wed, Apr 26", Milwaukee ,W109-98  ,Prince  22,Wallace  11,Hamilton  8,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Sat, Apr 29",Milwaukee ,L124-104  ,Billups  26,McDyess  8,Billups  6,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Mon, May 1",Milwaukee ,W109-99  ,Billups  34,McDyess  11,Prince  7,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Wed, May 3", Milwaukee ,W122-93  ,Hamilton  40,Wallace  14,Billups  8,A,Detroit Pistons 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Sun, May 7", Cleveland ,W113-86  ,Prince  24,Wallace  11,Billups  10,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Tue, May 9", Cleveland ,W97-91  ,Wallace  29,Wallace  15,Billups  7,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Sat, May 13",Cleveland ,L86-77  ,Hamilton  22,Wallace  13,Hamilton  5,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Mon, May 15",Cleveland ,L74-72  ,Hamilton  30,Wallace  10,Billups  7,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Wed, May 17", Cleveland ,L86-84  ,Prince  21,Wallace  13,Billups  5,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Fri, May 19",Cleveland ,W84-82  ,Wallace  24,Wallace  10,Wallace  4,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Sun, May 21", Cleveland ,W79-61  ,Prince  20,Wallace  9,Prince  3,A,Detroit Pistons 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Tue, May 23", Miami ,L91-86  ,Hamilton  22,Wallace  14,Billups  7,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Thu, May 25", Miami ,W92-88  ,Prince  24,Wallace  12,Billups  8,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Sat, May 27",Miami ,L98-83  ,Billups  31,Wallace  10,Prince  4,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Mon, May 29",Miami ,L89-78  ,Prince  15,Wallace  11,Billups  7,H,Detroit Pistons 2005-06 Postseason NBA Schedule
"Wed, May 31", Miami ,W91-78  ,Prince  29,Hamilton  10,Billups  10,A,Detroit Pistons 2005-06 Postseason NBA Schedule
"Fri, Jun 2",Miami ,L95-78  ,Hamilton  33,Wallace  8,Billups  8,H,Detroit Pistons 2005-06 Postseason NBA Schedule
