DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 15", Indiana ,L98-80  ,James  24,Love  17,James  12,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Wed, Apr 18", Indiana ,W100-97  ,James  46,James  12,James  5,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Fri, Apr 20",Indiana ,L92-90  ,James  28,James  12,James  8,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sun, Apr 22",Indiana ,W104-100  ,James  32,James  13,James  7,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Wed, Apr 25", Indiana ,W98-95  ,James  44,James  10,James  8,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Fri, Apr 27",Indiana ,L121-87  ,James  22,Love  7,James  7,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sun, Apr 29", Indiana ,W105-101  ,James  45,Thompson  10,James  7,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Tue, May 1",Toronto ,W113-112 OT ,James  26,Love  13,James  13,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Thu, May 3",Toronto ,W128-110  ,James  43,Love  11,James  14,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sat, May 5", Toronto ,W105-103  ,James  38,Love  16,James  7,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Mon, May 7", Toronto ,W128-93  ,James  29,James  8,James  11,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sun, May 13",Boston ,L108-83  ,Love  17,Thompson  11,James  9,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Tue, May 15",Boston ,L107-94  ,James  42,Love  15,James  12,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sat, May 19", Boston ,W116-86  ,James  27,Love  14,James  12,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Mon, May 21", Boston ,W111-102  ,James  44,Thompson  12,James  3,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Wed, May 23",Boston ,L96-83  ,James  26,James  10,James  5,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Fri, May 25", Boston ,W109-99  ,James  46,James  11,James  9,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sun, May 27",Boston ,W87-79  ,James  35,James  15,James  9,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Thu, May 31",Golden State ,L124-114 OT ,James  51,Love  13,James  8,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Sun, Jun 3",Golden State ,L122-103  ,James  29,Love  10,James  13,H,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Wed, Jun 6", Golden State ,L110-102  ,James  33,Love  13,James  11,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
"Fri, Jun 8", Golden State ,L108-85  ,James  23,Love  9,James  8,A,Cleveland Cavaliers 2017-18 Postseason NBA Schedule
