DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 21", Orlando ,W100-92  ,Billups  22,McDyess  9,Billups  11,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Mon, Apr 23", Orlando ,W98-90  ,Hamilton  22,Wallace  11,Billups  8,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Thu, Apr 26",Orlando ,W93-77  ,Prince  23,McDyess  11,Prince  5,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Sat, Apr 28",Orlando ,W97-93  ,Billups  25,Webber  10,Billups  6,H,Detroit Pistons 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Sat, May 5", Chicago ,W95-69  ,Hamilton  20,McDyess  10,Hunter  6,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Mon, May 7", Chicago ,W108-87  ,Prince  25,Hamilton  9,Billups  10,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Thu, May 10",Chicago ,W81-74  ,Prince  23,Prince  11,Billups  7,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Sun, May 13",Chicago ,L102-87  ,Billups  23,McDyess  8,Billups  8,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Tue, May 15", Chicago ,L108-92  ,Billups  17,Webber  8,Billups  6,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Thu, May 17",Chicago ,W95-85  ,Hamilton  23,Wallace  13,Billups  7,H,Detroit Pistons 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Mon, May 21", Cleveland ,W79-76  ,Hamilton  24,Wallace  12,Prince  9,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Thu, May 24", Cleveland ,W79-76  ,Wallace  16,Wallace  11,Billups  6,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Sun, May 27",Cleveland ,L88-82  ,Wallace  16,McDyess  9,Webber  3,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Tue, May 29",Cleveland ,L91-87  ,Billups  23,Billups  9,Prince  4,H,Detroit Pistons 2006-07 Postseason NBA Schedule
"Thu, May 31", Cleveland ,L109-107 2OT ,Hamilton  26,Prince  9,Hamilton  5,A,Detroit Pistons 2006-07 Postseason NBA Schedule
"Sat, Jun 2",Cleveland ,L98-82  ,Hamilton  29,Webber  6,Prince  6,H,Detroit Pistons 2006-07 Postseason NBA Schedule
