DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Thu, Oct 21",Golden State ,L115-113  ,0-1,George  29,George  11,George  6,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Sat, Oct 23", Memphis ,L120-114  ,0-2,George  41,George  10,Bledsoe  7,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Mon, Oct 25", Portland ,W116-86  ,1-2,Kennard  23,Zubac  8,Bledsoe  7,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Wed, Oct 27", Cleveland ,L92-79  ,1-3,Jackson  16,George  10,Jackson  3,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Fri, Oct 29",Portland ,L111-92  ,1-4,George  42,Batum  9,Mann  4,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Mon, Nov 1", Oklahoma City ,W99-94  ,2-4,George  32,Hartenstein  12,George  7,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Wed, Nov 3",Minnesota ,W126-115  ,3-4,George  32,George  6,George  8,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Fri, Nov 5",Minnesota ,W104-84  ,4-4,George  21,Zubac  14,George  6,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Sun, Nov 7", Charlotte ,W120-106  ,5-4,George  20,Zubac  11,George  8,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Tue, Nov 9", Portland ,W117-109  ,6-4,George  24,George  9,George  7,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Thu, Nov 11", Miami ,W112-109  ,7-4,George  27,Zubac  11,George  5,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Sat, Nov 13", Minnesota ,W129-102  ,8-4,George  23,Zubac  12,Bledsoe  9,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Sun, Nov 14", Chicago ,L100-90  ,8-5,George  27,George  11,George  4,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Tue, Nov 16", San Antonio ,W106-92  ,9-5,George  34,Zubac  13,George  4,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Thu, Nov 18",Memphis ,L120-108  ,9-6,George  23,Zubac  7,George  6,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Fri, Nov 19",New Orleans ,L94-81  ,9-7,George  19,Zubac  11,George  6,H,LA Clippers 2021-22 Regular Season NBA Schedule
"Sun, Nov 21", Dallas ,W97-91  ,10-7,George  29,Zubac  10,George  6,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Tue, Nov 23", Dallas ,L112-104 OT ,10-8,Jackson  31,Jackson  10,George  6,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Fri, Nov 26", Detroit ,W107-96  ,11-8,Jackson  21,Zubac  13,Jackson  4,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Sun, Nov 28", Golden State ,L105-90  ,11-9,George  30,Bledsoe  10,George  5,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Mon, Nov 29", New Orleans ,L123-104  ,11-10,George  27,Mann  7,Mann  5,A,LA Clippers 2021-22 Regular Season NBA Schedule
"Wed, Dec 1", Sacramento ,L124-115  ,11-11,Mann  19,Hartenstein  8,Jackson  6,A,LA Clippers 2021-22 Regular Season NBA Schedule
