DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20",Chicago ,W102-93  ,Hilario  24,Gortat  13,Beal  7,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Tue, Apr 22",Chicago ,W101-99 OT ,Beal  26,Booker  8,Wall  7,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Fri, Apr 25", Chicago ,L100-97  ,Beal  25,Ariza  11,Wall  7,A,Washington Wizards 2013-14 Postseason NBA Schedule
"Sun, Apr 27", Chicago ,W98-89  ,Ariza  30,Booker  9,Wall  10,A,Washington Wizards 2013-14 Postseason NBA Schedule
"Tue, Apr 29",Chicago ,W75-69  ,Wall  24,Gortat  13,Wall  4,H,Washington Wizards 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Mon, May 5",Indiana ,W102-96  ,Beal  25,Gortat  15,Wall  10,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Wed, May 7",Indiana ,L86-82  ,Gortat  21,Gortat  11,Wall  8,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Fri, May 9", Indiana ,L85-63  ,Beal  16,Ariza  15,Wall  6,A,Washington Wizards 2013-14 Postseason NBA Schedule
"Sun, May 11", Indiana ,L95-92  ,Beal  20,Ariza  9,Wall  7,A,Washington Wizards 2013-14 Postseason NBA Schedule
"Tue, May 13",Indiana ,W102-79  ,Gortat  31,Gortat  16,Wall  5,H,Washington Wizards 2013-14 Postseason NBA Schedule
"Thu, May 15", Indiana ,L93-80  ,Gortat  19,Ariza  7,Wall  8,A,Washington Wizards 2013-14 Postseason NBA Schedule
