DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", Boston ,W104-88  ,O'Neal  24,O'Neal  11,Tinsley  7,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Tue, Apr 20", Boston ,W103-90  ,O'Neal  22,Harrington  13,Miller  7,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Fri, Apr 23",Boston ,W108-85  ,Harrington  19,Harrington  9,World Peace  5,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Sun, Apr 25",Boston ,W90-75  ,World Peace  22,Harrington  7,Tinsley  7,H,Indiana Pacers 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Thu, May 6", Miami ,W94-81  ,World Peace  25,Foster  10,Tinsley  5,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Sat, May 8", Miami ,W91-80  ,World Peace  20,O'Neal  9,Tinsley  9,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Mon, May 10",Miami ,L94-87  ,O'Neal  29,O'Neal  9,Tinsley  5,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Wed, May 12",Miami ,L100-88  ,O'Neal  37,World Peace  8,Tinsley  5,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Sat, May 15", Miami ,W94-83  ,O'Neal  22,Foster  16,Tinsley  8,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Tue, May 18",Miami ,W73-70  ,World Peace  27,O'Neal  13,Tinsley  3,H,Indiana Pacers 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Sat, May 22", Detroit ,W78-74  ,O'Neal  21,O'Neal  14,Tinsley  5,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Mon, May 24", Detroit ,L72-67  ,Miller  21,Foster  9,Johnson  4,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Wed, May 26",Detroit ,L85-78  ,O'Neal  24,O'Neal  9,Tinsley  4,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Fri, May 28",Detroit ,W83-68  ,World Peace  20,O'Neal  13,Tinsley  5,H,Indiana Pacers 2003-04 Postseason NBA Schedule
"Sun, May 30", Detroit ,L83-65  ,World Peace  13,World Peace  11,Tinsley  5,A,Indiana Pacers 2003-04 Postseason NBA Schedule
"Tue, Jun 1",Detroit ,L69-65  ,O'Neal  20,O'Neal  10,Johnson  7,H,Indiana Pacers 2003-04 Postseason NBA Schedule
