DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19",Houston ,W93-82  ,Kirilenko  21,Boozer  16,Williams  10,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Mon, Apr 21",Houston ,W90-84  ,Williams  22,Okur  16,Williams  5,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Thu, Apr 24", Houston ,L94-92  ,Williams  28,Boozer  13,Williams  12,A,Utah Jazz 2007-08 Postseason NBA Schedule
"Sat, Apr 26", Houston ,W86-82  ,Williams  17,Okur  18,Williams  9,A,Utah Jazz 2007-08 Postseason NBA Schedule
"Tue, Apr 29",Houston ,L95-69  ,Boozer  19,Boozer  10,Williams  6,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Fri, May 2", Houston ,W113-91  ,Williams  25,Okur  13,Williams  9,A,Utah Jazz 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Sun, May 4",Los Angeles ,L109-98  ,Okur  21,Okur  19,Williams  9,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Wed, May 7",Los Angeles ,L120-110  ,Williams  25,Millsap  10,Williams  10,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Fri, May 9", Los Angeles ,W104-99  ,Boozer  27,Boozer  20,Williams  12,A,Utah Jazz 2007-08 Postseason NBA Schedule
"Sun, May 11", Los Angeles ,W123-115 OT ,Williams  29,Boozer  12,Williams  14,A,Utah Jazz 2007-08 Postseason NBA Schedule
"Wed, May 14",Los Angeles ,L111-104  ,Williams  27,Okur  13,Williams  10,H,Utah Jazz 2007-08 Postseason NBA Schedule
"Fri, May 16", Los Angeles ,L108-105  ,Williams  21,Boozer  14,Williams  14,A,Utah Jazz 2007-08 Postseason NBA Schedule
