DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 23",Indiana ,W119-110  ,1-0,Drummond  32,Drummond  23,Rose  9,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Thu, Oct 24", Atlanta ,L117-100  ,1-1,Rose  27,Drummond  12,Rose  3,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Oct 26", Philadelphia ,L117-111  ,1-2,Rose  31,Drummond  12,Snell  6,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Oct 28", Indiana ,W96-94  ,2-2,Wood  19,Drummond  18,Frazier  8,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Oct 30",Toronto ,L125-113  ,2-3,Drummond  21,Drummond  22,Rose  10,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Nov 1",Chicago ,L112-106  ,2-4,Drummond  25,Drummond  24,Rose  7,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Nov 2", Brooklyn ,W113-109  ,3-4,Drummond  25,Drummond  20,Brown  7,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Nov 4",Washington ,L115-99  ,3-5,Kennard  24,Drummond  24,Brown  7,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Nov 6", New York ,W122-102  ,4-5,Drummond  27,Drummond  12,Drummond  7,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Nov 8",Indiana ,L112-106  ,4-6,Kennard  29,Drummond  13,Drummond  8,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Nov 11", Minnesota ,L120-114  ,4-7,Kennard  25,Drummond  12,Griffin  6,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Tue, Nov 12",Miami ,L117-108  ,4-8,Kennard  22,Drummond  9,Brown  11,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Nov 15",Charlotte ,L109-106  ,4-9,Galloway  32,Drummond  20,Brown  7,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Nov 20",Chicago ,L109-89  ,4-10,Rose  18,Drummond  14,Brown  6,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Nov 22", Atlanta ,W128-103  ,5-10,Griffin  24,Drummond  15,Kennard  9,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Nov 23",Milwaukee ,L104-90  ,5-11,Rose  20,Drummond  17,Rose  6,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Nov 25", Orlando ,W103-88  ,6-11,Kennard  20,Drummond  18,Kennard  7,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Nov 27",Charlotte ,L102-101  ,6-12,Griffin  26,Drummond  21,Rose  8,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Nov 29", Charlotte ,L110-107  ,6-13,Rose  23,Drummond  19,Brown  5,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sun, Dec 1", San Antonio ,W132-98  ,7-13,Wood  28,Drummond  16,Rose  10,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Tue, Dec 3",Cleveland ,W127-94  ,8-13,Griffin  24,Drummond  14,Rose  9,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Dec 4", Milwaukee ,L127-103  ,8-14,Drummond  23,Drummond  14,Drummond  5,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Dec 6", Indiana ,W108-101  ,9-14,Drummond  25,Drummond  22,Brown  6,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Dec 9",New Orleans ,W105-103  ,10-14,Rose  21,Drummond  10,Rose  7,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Thu, Dec 12", Dallas,L122-111  ,10-15,Drummond  23,Drummond  15,Griffin  5,N,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Dec 14",Houston ,W115-107  ,11-15,Kennard  22,Wood  12,Rose  12,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Dec 16", Washington ,L133-119  ,11-16,Rose  22,Rose  6,Rose  8,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Wed, Dec 18", Toronto ,L112-99  ,11-17,Drummond  22,Drummond  18,Rose  5,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Fri, Dec 20",Boston ,L114-93  ,11-18,Maker  15,Drummond  11,Brown  5,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Dec 21", Chicago ,L119-107  ,11-19,Morris  23,Drummond  13,Frazier  9,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Dec 23", Philadelphia ,L125-109  ,11-20,Drummond  27,Drummond  9,Rose  7,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Thu, Dec 26", Washington ,W132-102  ,12-20,Wood  22,Griffin  11,Frazier  6,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Dec 28",San Antonio ,L136-109  ,12-21,Rose  24,Drummond  18,Rose  4,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Mon, Dec 30",Utah ,L104-81  ,12-22,Rose  20,Drummond  13,Rose  4,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Thu, Jan 2",LA ,L126-112  ,12-23,Brown  15,Drummond  12,Brown  6,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Jan 4",Golden State ,W111-104  ,13-23,Rose  22,Drummond  18,Frazier  5,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sun, Jan 5",Los Angeles ,L106-99  ,13-24,Rose  28,Drummond  18,Rose  5,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Tue, Jan 7",Cleveland ,W115-113  ,14-24,Rose  24,Drummond  20,Rose  7,H,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Thu, Jan 9", Cleveland ,L115-112 OT ,14-25,Drummond  28,Drummond  23,Brown  8,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
"Sat, Jan 11", Chicago ,L108-99  ,14-26,Rose  20,Wood  14,Rose  7,A,Detroit Pistons 2019-20 Regular Season NBA Schedule
