DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 15",Oklahoma City ,L116-108  ,Mitchell  27,Mitchell  10,Rubio  5,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Wed, Apr 18",Oklahoma City ,W102-95  ,Mitchell  28,Favors  16,Rubio  9,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Sat, Apr 21", Oklahoma City ,W115-102  ,Rubio  26,Gobert  12,Rubio  10,A,Utah Jazz 2017-18 Postseason NBA Schedule
"Mon, Apr 23", Oklahoma City ,W113-96  ,Mitchell  33,Gobert  10,Rubio  8,A,Utah Jazz 2017-18 Postseason NBA Schedule
"Wed, Apr 25",Oklahoma City ,L107-99  ,Crowder  27,Rubio  12,Rubio  7,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Fri, Apr 27", Oklahoma City ,W96-91  ,Mitchell  38,Gobert  13,Ingles  5,A,Utah Jazz 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Sun, Apr 29",Houston ,L110-96  ,Crowder  21,Gobert  9,Mitchell  5,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Wed, May 2",Houston ,W116-108  ,Ingles  27,Gobert  14,Mitchell  11,H,Utah Jazz 2017-18 Postseason NBA Schedule
"Fri, May 4", Houston ,L113-92  ,O'Neale  17,Gobert  9,Neto  4,A,Utah Jazz 2017-18 Postseason NBA Schedule
"Sun, May 6", Houston ,L100-87  ,Mitchell  25,Gobert  10,Ingles  4,A,Utah Jazz 2017-18 Postseason NBA Schedule
"Tue, May 8",Houston ,L112-102  ,Mitchell  24,Gobert  9,Mitchell  9,H,Utah Jazz 2017-18 Postseason NBA Schedule
