DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Mar 19",Atlanta ,W121-105  ,45-26,Harden  31,Capela  11,Paul  11,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Mar 20",Memphis ,L126-125 OT ,45-27,Harden  57,Capela  10,Harden  8,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Mar 22", San Antonio ,W111-105  ,46-27,Harden  61,Capela  16,Paul  5,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Mar 24",New Orleans ,W113-90  ,47-27,Harden  28,Capela  17,Paul  13,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Mar 26",Milwaukee ,L108-94  ,47-28,Harden  23,Capela  11,Harden  7,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Mar 28", Denver ,W112-85  ,48-28,Harden  38,Capela  15,Paul  8,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Mar 30", Sacramento ,W119-108  ,49-28,Harden  50,Capela  15,Harden  10,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Apr 2",Sacramento ,W130-105  ,50-28,Harden  36,Capela  13,Paul  12,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Apr 3",LA ,W135-103  ,51-28,Harden  31,Capela  15,Harden  7,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Apr 5", New York ,W120-96  ,52-28,Harden  26,Capela  15,Paul  10,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Apr 7", Phoenix ,W149-113  ,53-28,Harden  30,Harden  13,Harden  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Apr 9",Oklahoma City ,L112-111  ,53-29,Harden  39,Harden  10,Paul  6,H,Houston Rockets 2018-19 Regular Season NBA Schedule
