DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Mar 28",Charlotte ,W88-83  ,25-27,Love  40,Love  19,Ridnour  14,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Fri, Mar 30", Boston ,L100-79  ,25-28,Love  22,Love  11,Ridnour  8,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sun, Apr 1",Portland ,L119-106  ,25-29,Love  26,Love  9,Ridnour  6,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Mon, Apr 2",Sacramento ,L116-108  ,25-30,Love  23,Love  7,Ridnour  6,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Wed, Apr 4", Golden State ,L97-94  ,25-31,Love  29,Love  12,Barea  8,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sat, Apr 7",New Orleans ,L99-90  ,25-32,Love  29,Love  12,Barea  7,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Mon, Apr 9", Phoenix ,L114-90  ,25-33,Love  25,Love  13,Barea  5,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Wed, Apr 11",Denver ,L113-107  ,25-34,Randolph  28,Williams  8,Barea  15,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Thu, Apr 12", LA ,L95-82  ,25-35,Pekovic  17,Beasley  10,Barea  11,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sat, Apr 14", Oklahoma City ,L115-110  ,25-36,Beasley  26,Pekovic  13,Barea  10,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Mon, Apr 16",Indiana ,L111-88  ,25-37,Barea  14,Williams  10,Barea  9,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Tue, Apr 17", Memphis ,L91-84  ,25-38,Barea  28,Pekovic  11,Barea  8,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Thu, Apr 19",Detroit ,W91-80  ,26-38,Pekovic  23,Randolph  10,Barea  12,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sun, Apr 22", Golden State ,L93-88  ,26-39,Pekovic  19,Pekovic  16,Barea  12,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Thu, Apr 26", Denver ,L131-102  ,26-40,Barea  20,Pekovic  10,Barea  5,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
