DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 15",Cleveland ,W101-97  ,Brunson  27,Randle  10,Barrett  6,H,New York Knicks 2022-23 Postseason NBA Schedule
"Tue, Apr 18",Cleveland ,L107-90  ,Randle  22,Randle  8,Brunson  6,H,New York Knicks 2022-23 Postseason NBA Schedule
"Fri, Apr 21", Cleveland ,W99-79  ,Brunson  21,Barrett  8,Brunson  6,A,New York Knicks 2022-23 Postseason NBA Schedule
"Sun, Apr 23", Cleveland ,W102-93  ,Brunson  29,Robinson  11,Brunson  6,A,New York Knicks 2022-23 Postseason NBA Schedule
"Wed, Apr 26",Cleveland ,W106-95  ,Brunson  23,Robinson  18,Randle  6,H,New York Knicks 2022-23 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,New York Knicks 2022-23 Postseason NBA Schedule
"Sun, Apr 30", Miami ,L108-101  ,Barrett  26,Robinson  14,Barrett  7,A,New York Knicks 2022-23 Postseason NBA Schedule
"Tue, May 2", Miami ,W111-105  ,Brunson  30,Randle  12,Hart  9,A,New York Knicks 2022-23 Postseason NBA Schedule
"Sat, May 6",Miami ,L105-86  ,Brunson  20,Randle  14,Brunson  8,H,New York Knicks 2022-23 Postseason NBA Schedule
"Mon, May 8",Miami ,L109-101  ,Brunson  32,Randle  9,Brunson  11,H,New York Knicks 2022-23 Postseason NBA Schedule
"Wed, May 10", Miami ,W112-103  ,Brunson  38,Robinson  11,Brunson  7,A,New York Knicks 2022-23 Postseason NBA Schedule
"Fri, May 12",Miami ,L96-92  ,Brunson  41,Randle  11,Brunson  3,H,New York Knicks 2022-23 Postseason NBA Schedule
