DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 21",Toronto ,W96-91  ,Jefferson  28,Kidd  10,Kidd  15,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Tue, Apr 24",Toronto ,L89-83  ,Carter  19,Carter  11,Kidd  7,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Fri, Apr 27", Toronto ,W102-89  ,Carter  37,Kidd  16,Kidd  19,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Sun, Apr 29", Toronto ,W102-81  ,Carter  27,Kidd  8,Kidd  13,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Tue, May 1",Toronto ,L98-96  ,Carter  30,Moore  10,Kidd  10,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Fri, May 4", Toronto ,W98-97  ,Jefferson  24,Kidd  8,Kidd  15,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Sun, May 6",Cleveland ,L81-77  ,Carter  21,Carter  13,Kidd  9,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Tue, May 8",Cleveland ,L102-92  ,Carter  26,Kidd  10,Kidd  8,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Sat, May 12", Cleveland ,W96-85  ,Kidd  23,Kidd  13,Kidd  14,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Mon, May 14", Cleveland ,L87-85  ,Carter  25,Kidd  17,Carter  9,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Wed, May 16",Cleveland ,W83-72  ,Kidd  20,Kidd  9,Carter  10,H,Brooklyn Nets 2006-07 Postseason NBA Schedule
"Fri, May 18", Cleveland ,L88-72  ,Kidd  19,Kidd  12,Kidd  8,A,Brooklyn Nets 2006-07 Postseason NBA Schedule
