DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Jan 27",Boston ,L128-98  ,18-30,Vucevic  14,Vucevic  7,Payton  7,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Jan 29",Toronto ,W114-113  ,19-30,Vucevic  25,Vucevic  10,Payton  10,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Jan 30",Minnesota ,L111-105 OT ,19-31,Payton  21,Vucevic  11,Vucevic  5,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Feb 1", Indiana ,L98-88  ,19-32,Ibaka  20,Vucevic  15,Vucevic  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Feb 3", Toronto ,W102-94  ,20-32,Ibaka  20,Ibaka  12,Payton  6,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Feb 4",Atlanta ,L113-86  ,20-33,Gordon  16,Vucevic  7,Gordon  3,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Feb 7",Houston ,L128-104  ,20-34,Ibaka  28,Vucevic  19,Payton  8,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Feb 9", Philadelphia ,L112-111  ,20-35,Fournier  24,Vucevic  11,Fournier  8,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Feb 11",Dallas ,L112-80  ,20-36,Biyombo  15,Vucevic  10,Watson  5,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Feb 13",Miami ,W116-107  ,21-36,Fournier  24,Vucevic  17,Fournier  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Feb 15", San Antonio ,L107-79  ,21-37,Vucevic  16,Vucevic  10,Fournier  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Feb 23", Portland ,L112-103  ,21-38,Vucevic  25,Vucevic  9,Green  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Feb 25", Atlanta ,W105-86  ,22-38,Ross  24,Vucevic  14,Payton  9,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Mar 1", New York ,L101-90  ,22-39,Fournier  22,Vucevic  10,Payton  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Mar 3", Miami ,W110-99  ,23-39,Vucevic  25,Gordon  10,Payton  8,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Mar 5",Washington ,L115-114  ,23-40,Ross  20,Biyombo  15,Augustin  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Mar 6", New York ,L113-105  ,23-41,Fournier  25,Biyombo  14,Payton  10,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Mar 8", Chicago ,W98-91  ,24-41,Payton  22,Payton  14,Payton  14,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Mar 10",Charlotte ,L121-81  ,24-42,Gordon  20,Biyombo  10,Payton  12,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Mar 11", Cleveland ,L116-104  ,24-43,Vucevic  20,Vucevic  15,Payton  6,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Mar 13",Sacramento ,L120-115  ,24-44,Vucevic  23,Payton  10,Payton  13,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Mar 16",Golden State ,L122-92  ,24-45,Payton  13,Biyombo  10,Vucevic  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Mar 17",Phoenix ,W109-103  ,25-45,Fournier  25,Vucevic  17,Payton  11,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Mar 20", Philadelphia ,W112-109 OT ,26-45,Vucevic  26,Vucevic  13,Gordon  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Mar 22", Charlotte ,L109-102  ,26-46,Ross  19,Vucevic  12,Vucevic  8,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Mar 24", Detroit ,W115-87  ,27-46,Ross  18,Payton  11,Payton  10,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Mar 27",Toronto ,L131-112  ,27-47,Payton  22,Vucevic  15,Payton  9,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Mar 29", Oklahoma City ,L114-106 OT ,27-48,Fournier  24,Vucevic  16,Payton  8,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Mar 31",Boston ,L117-116  ,27-49,Gordon  32,Gordon  16,Payton  15,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Apr 1",Brooklyn ,L121-111  ,27-50,Vucevic  27,Gordon  15,Payton  11,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Apr 4",Cleveland ,L122-102  ,27-51,Fournier  21,Vucevic  10,Payton  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Apr 6", Brooklyn ,W115-107  ,28-51,Payton  22,Vucevic  12,Payton  11,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Apr 8", Indiana ,L127-112  ,28-52,Ross  29,Vucevic  10,Payton  10,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Apr 10",Chicago ,L122-75  ,28-53,Vucevic  14,Vucevic  10,Payton  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Apr 12", Detroit ,W113-109  ,29-53,Gordon  32,Gordon  12,Payton  13,A,Orlando Magic 2016-17 Regular Season NBA Schedule
