DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, May 22", Boston ,W104-93  ,Durant  32,Durant  12,Harden  8,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Tue, May 25", Boston ,W130-108  ,Durant  26,Durant  8,Harden  7,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Fri, May 28",Boston ,L125-119  ,Harden  41,Durant  9,Harden  10,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Sun, May 30",Boston ,W141-126  ,Durant  42,Irving  11,Harden  18,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Tue, Jun 1", Boston ,W123-109  ,Harden  34,Harden  10,Harden  10,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Sat, Jun 5", Milwaukee ,W115-107  ,Durant  29,Griffin  14,Irving  8,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Mon, Jun 7", Milwaukee ,W125-86  ,Durant  32,Griffin  8,Durant  6,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Thu, Jun 10",Milwaukee ,L86-83  ,Durant  30,Brown  11,Durant  5,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Sun, Jun 13",Milwaukee ,L107-96  ,Durant  28,Durant  13,Durant  5,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Tue, Jun 15", Milwaukee ,W114-108  ,Durant  49,Durant  17,Durant  10,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Thu, Jun 17",Milwaukee ,L104-89  ,Durant  32,Durant  11,Harden  7,H,Brooklyn Nets 2020-21 Postseason NBA Schedule
"Sat, Jun 19", Milwaukee ,L115-111 OT ,Durant  48,Griffin  11,Harden  9,A,Brooklyn Nets 2020-21 Postseason NBA Schedule
