DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, May 23",New York ,W107-105  ,Young  32,Capela  13,Young  10,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Wed, May 26",New York ,L101-92  ,Young  30,Capela  12,Young  7,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Fri, May 28", New York ,W105-94  ,Young  21,Capela  12,Young  14,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Sun, May 30", New York ,W113-96  ,Young  27,Capela  15,Young  9,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Wed, Jun 2",New York ,W103-89  ,Young  36,Capela  15,Young  9,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Sun, Jun 6",Philadelphia ,W128-124  ,Young  35,Capela  10,Young  10,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Tue, Jun 8",Philadelphia ,L118-102  ,Gallinari  21,Collins  10,Young  11,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Fri, Jun 11", Philadelphia ,L127-111  ,Young  28,Capela  16,Young  8,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Mon, Jun 14", Philadelphia ,W103-100  ,Young  25,Capela  13,Young  18,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Wed, Jun 16",Philadelphia ,W109-106  ,Young  39,Collins  11,Young  7,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Fri, Jun 18", Philadelphia ,L104-99  ,Young  34,Huerter  11,Young  12,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Sun, Jun 20",Philadelphia ,W103-96  ,Huerter  27,Collins  16,Young  10,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Wed, Jun 23",Milwaukee ,W116-113  ,Young  48,Capela  19,Young  11,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Fri, Jun 25",Milwaukee ,L125-91  ,Young  15,Collins  8,Bogdanovic  4,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Sun, Jun 27", Milwaukee ,L113-102  ,Young  35,Capela  11,Huerter  7,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Tue, Jun 29", Milwaukee ,W110-88  ,Williams  21,Capela  7,Williams  8,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Thu, Jul 1",Milwaukee ,L123-112  ,Bogdanovic  28,Collins  8,Huerter  7,H,Atlanta Hawks 2020-21 Postseason NBA Schedule
"Sat, Jul 3", Milwaukee ,L118-107  ,Reddish  21,Collins  11,Young  9,A,Atlanta Hawks 2020-21 Postseason NBA Schedule
