DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19", Dallas ,W104-92  ,Paul  35,Chandler  15,Paul  10,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Tue, Apr 22", Dallas ,W127-103  ,Paul  32,Chandler  11,Paul  17,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Fri, Apr 25",Dallas ,L97-87  ,Pargo  30,Chandler  11,Paul  10,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Sun, Apr 27",Dallas ,W97-84  ,West  24,West  9,Paul  8,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Tue, Apr 29", Dallas ,W99-94  ,West  25,Chandler  14,Paul  15,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Sat, May 3", San Antonio ,W101-82  ,West  30,Chandler  15,Paul  13,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Mon, May 5", San Antonio ,W102-84  ,Paul  30,Chandler  11,Paul  12,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Thu, May 8",San Antonio ,L110-99  ,Paul  35,West  12,Paul  9,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Sun, May 11",San Antonio ,L100-80  ,Paul  23,Paul  6,Paul  5,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Tue, May 13", San Antonio ,W101-79  ,West  38,West  14,Paul  14,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Thu, May 15",San Antonio ,L99-80  ,Paul  21,Paul  6,Paul  8,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule
"Mon, May 19", San Antonio ,L91-82  ,West  20,Chandler  15,Paul  14,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule
