DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", Chicago ,W93-86  ,Antetokounmpo  27,Antetokounmpo  16,Holiday  6,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Wed, Apr 20", Chicago ,L114-110  ,Antetokounmpo  33,Antetokounmpo  18,Antetokounmpo  9,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Fri, Apr 22",Chicago ,W111-81  ,Allen  22,Portis  16,Antetokounmpo  9,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Sun, Apr 24",Chicago ,W119-95  ,Antetokounmpo  32,Antetokounmpo  17,Antetokounmpo  7,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Wed, Apr 27", Chicago ,W116-100  ,Antetokounmpo  33,Portis  17,Holiday  9,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Sun, May 1",Boston ,W101-89  ,Holiday  25,Antetokounmpo  13,Antetokounmpo  12,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Tue, May 3",Boston ,L109-86  ,Antetokounmpo  28,Antetokounmpo  9,Antetokounmpo  7,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Sat, May 7", Boston ,W103-101  ,Antetokounmpo  42,Antetokounmpo  12,Antetokounmpo  8,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Mon, May 9", Boston ,L116-108  ,Antetokounmpo  34,Antetokounmpo  18,Holiday  9,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Wed, May 11",Boston ,W110-107  ,Antetokounmpo  40,Portis  15,Holiday  8,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Fri, May 13", Boston ,L108-95  ,Antetokounmpo  44,Antetokounmpo  20,Antetokounmpo  6,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule
"Sun, May 15",Boston ,L109-81  ,Antetokounmpo  25,Antetokounmpo  20,Antetokounmpo  9,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule
