DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", Chicago ,W96-83  ,James  24,Varejao  15,Williams  10,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Mon, Apr 19", Chicago ,W112-102  ,James  40,James  8,James  8,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Thu, Apr 22",Chicago ,L108-106  ,James  39,Jamison  11,James  8,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Sun, Apr 25",Chicago ,W121-98  ,James  37,James  12,James  11,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Tue, Apr 27", Chicago ,W96-94  ,Jamison  25,James  10,James  9,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Sat, May 1", Boston ,W101-93  ,James  35,Jamison  9,James  7,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Mon, May 3", Boston ,L104-86  ,James  24,James  7,Williams  7,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Fri, May 7",Boston ,W124-95  ,James  38,Jamison  12,James  7,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Sun, May 9",Boston ,L97-87  ,James  22,James  9,James  8,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Tue, May 11", Boston ,L120-88  ,O'Neal  21,Varejao  8,James  7,A,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
"Thu, May 13",Boston ,L94-85  ,James  27,James  19,James  10,H,Cleveland Cavaliers 2009-10 Postseason NBA Schedule
