DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 22",Dallas ,W97-85  ,Davis  33,Davis  14,Davis  8,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Wed, Apr 25",Dallas ,L112-99  ,Jackson  30,Richardson  10,Richardson  3,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Fri, Apr 27", Dallas ,W109-91  ,Richardson  30,Biedrins  10,Jackson  6,A,Golden State Warriors 2006-07 Postseason NBA Schedule
"Sun, Apr 29", Dallas ,W103-99  ,Davis  33,Davis  8,Davis  4,A,Golden State Warriors 2006-07 Postseason NBA Schedule
"Tue, May 1",Dallas ,L118-112  ,Davis  27,Pietrus  10,Davis  9,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Thu, May 3", Dallas ,W111-86  ,Jackson  33,Biedrins  12,Barnes  7,A,Golden State Warriors 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Mon, May 7",Utah ,L116-112  ,Davis  24,Richardson  10,Davis  7,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Wed, May 9",Utah ,L127-117 OT ,Davis  36,Barnes  7,Davis  7,H,Golden State Warriors 2006-07 Postseason NBA Schedule
"Fri, May 11", Utah ,W125-105  ,Davis  32,Biedrins  13,Davis  9,A,Golden State Warriors 2006-07 Postseason NBA Schedule
"Sun, May 13", Utah ,L115-101  ,Jackson  24,Biedrins  10,Davis  7,A,Golden State Warriors 2006-07 Postseason NBA Schedule
"Tue, May 15",Utah ,L100-87  ,Davis  21,Richardson  8,Davis  8,H,Golden State Warriors 2006-07 Postseason NBA Schedule
