DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 15", Minnesota ,W104-101  ,Harden  44,Capela  12,Harden  8,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Wed, Apr 18", Minnesota ,W102-82  ,Paul  27,Capela  16,Paul  8,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Sat, Apr 21",Minnesota ,L121-105  ,Harden  29,Capela  11,Harden  7,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Mon, Apr 23",Minnesota ,W119-100  ,Harden  36,Capela  17,Paul  6,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Wed, Apr 25", Minnesota ,W122-104  ,Capela  26,Capela  15,Harden  12,A,Houston Rockets 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Sun, Apr 29", Utah ,W110-96  ,Harden  41,Capela  12,Harden  7,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Wed, May 2", Utah ,L116-108  ,Harden  32,Capela  11,Harden  11,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Fri, May 4",Utah ,W113-92  ,Harden  25,Capela  8,Harden  12,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Sun, May 6",Utah ,W100-87  ,Paul  27,Capela  15,Paul  6,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Tue, May 8", Utah ,W112-102  ,Paul  41,Paul  7,Paul  10,A,Houston Rockets 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Mon, May 14", Golden State ,L119-106  ,Harden  41,Paul  11,Harden  7,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Wed, May 16", Golden State ,W127-105  ,Harden  27,Harden  10,Ariza  6,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Sun, May 20",Golden State ,L126-85  ,Harden  20,Paul  10,Harden  9,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Tue, May 22",Golden State ,W95-92  ,Harden  30,Tucker  16,Harden  4,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Thu, May 24", Golden State ,W98-94  ,Gordon  24,Capela  14,Paul  6,A,Houston Rockets 2017-18 Postseason NBA Schedule
"Sat, May 26",Golden State ,L115-86  ,Harden  32,Capela  15,Harden  9,H,Houston Rockets 2017-18 Postseason NBA Schedule
"Mon, May 28", Golden State ,L101-92  ,Harden  32,Tucker  12,Harden  6,A,Houston Rockets 2017-18 Postseason NBA Schedule
