DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Feb 12",Boston ,L119-109  ,34-22,Morant  25,Jackson Jr.  7,Morant  7,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Feb 15", Utah ,W117-111  ,35-22,Jackson Jr.  26,Clarke  10,Morant  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Feb 23",Philadelphia ,L110-105  ,51-31,Bane  25,Tillman  12,Jones  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Feb 25", Denver ,W112-94  ,36-23,Morant  23,Clarke  9,Jones  5,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Feb 28", Los Angeles ,W121-109  ,37-23,Morant  39,Tillman  11,Morant  10,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Mar 1",Houston ,W113-99  ,38-23,Bane  30,Bane  9,Morant  7,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Mar 3",Denver ,L113-97  ,38-24,Morant  27,Tillman  10,Morant  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Mar 5",LA ,L135-129  ,38-25,Bane  30,Jackson Jr.  5,Jones  12,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Mar 7",Los Angeles ,L112-103  ,38-26,Jackson Jr.  26,Tillman  10,Bane  5,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Mar 9", Golden State ,W131-110  ,39-26,Jones  22,Jackson Jr.  9,Jones  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Mar 11", Dallas ,W112-108  ,40-26,Bane  25,Tillman  8,Jones  10,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Mar 13",Dallas ,W104-88  ,41-26,Bane  23,Aldama  9,Bane  7,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Mar 15",Miami ,L138-119  ,41-27,Jackson Jr.  25,Jackson Jr.  9,Jones  5,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Mar 17",San Antonio ,W126-120 OT ,42-27,Jackson Jr.  28,Jones  10,Jones  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Mar 18", Golden State ,W133-119  ,43-27,Jackson Jr.  31,Tillman  10,Jones  14,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Mar 20", Dallas ,W112-108  ,44-27,Jackson Jr.  28,Aldama  14,Jones  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Mar 22", Houston ,W130-125  ,45-27,Jackson Jr.  37,Jackson Jr.  10,Bane  7,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Mar 24", Houston ,W151-114  ,46-27,Kennard  30,Jackson Jr.  7,Jones  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Mar 26",Atlanta ,W123-119  ,47-27,Morant  27,Tillman  8,Morant  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Mar 28", Orlando ,W113-108  ,48-27,Bane  31,Jackson Jr.  10,Jones  8,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Mar 29", LA ,L141-132  ,48-28,Morant  36,Tillman  9,Morant  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Mar 31", LA ,W108-94  ,49-28,Bane  22,Tillman  8,Bane  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Apr 2",Chicago ,L128-107  ,49-29,Jackson Jr.  31,Morant  10,Morant  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Apr 4", Portland ,W119-109  ,50-29,Bane  30,Aldama  11,Morant  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Apr 5",New Orleans ,L138-131 OT ,50-30,Jackson Jr.  40,Jackson Jr.  9,Jones  12,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Apr 7",Milwaukee ,W137-114  ,51-30,Jackson Jr.  36,Bane  8,Jones  9,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Apr 9",Oklahoma City ,L115-100  ,51-31,Lofton Jr.  42,Lofton Jr.  14,Williams  9,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
