DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 18",San Antonio ,W105-97  ,Howard  25,Dampier  11,Kidd  5,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Mon, Apr 20",San Antonio ,L105-84  ,Terry  16,Nowitzki  6,Kidd  5,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Thu, Apr 23", San Antonio ,W88-67  ,Nowitzki  20,Dampier  9,Barea  7,A,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Sat, Apr 25", San Antonio ,W99-90  ,Howard  28,Nowitzki  13,Kidd  7,A,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Tue, Apr 28",San Antonio ,W106-93  ,Nowitzki  31,Dampier  12,Kidd  5,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Sun, May 3",Denver ,L109-95  ,Nowitzki  28,Nowitzki  10,Barea  5,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Tue, May 5",Denver ,L117-105  ,Nowitzki  35,Nowitzki  9,Kidd  7,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Sat, May 9", Denver ,L106-105  ,Nowitzki  33,Nowitzki  16,Kidd  5,A,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Mon, May 11", Denver ,W119-117  ,Nowitzki  44,Nowitzki  13,Kidd  6,A,Dallas Mavericks 2008-09 Postseason NBA Schedule
"Wed, May 13",Denver ,L124-110  ,Nowitzki  32,Nowitzki  10,Kidd  9,H,Dallas Mavericks 2008-09 Postseason NBA Schedule
