Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,San Antonio Spurs,82,92.9,35.7,81.8,43.6,6.6,19.9,33.1,14.9,19.6,75.8,9.1,31.4,40.5,20.8,7.2,3.9,14.3,19.5,NBA Team Regular Season Stats 2015-16
2,Utah Jazz,82,95.9,35.6,79.9,44.6,7.9,22.2,35.7,16.8,22.5,74.6,9.3,30.8,40.1,19.1,8.0,4.7,13.3,19.9,NBA Team Regular Season Stats 2015-16
3,Toronto Raptors,82,98.2,36.5,82.1,44.4,8.7,23.4,37.3,16.5,22.1,74.8,9.5,31.2,40.8,21.7,6.5,5.4,12.8,22.0,NBA Team Regular Season Stats 2015-16
4,Cleveland Cavaliers,82,98.3,36.8,82.1,44.8,7.9,22.7,34.7,16.8,22.6,74.3,9.3,31.8,41.0,21.4,7.2,4.4,12.9,20.6,NBA Team Regular Season Stats 2015-16
5,Miami Heat,82,98.4,37.2,84.3,44.2,7.4,21.2,34.7,16.5,21.5,77.0,9.8,31.5,41.3,20.2,7.5,4.1,12.3,19.6,NBA Team Regular Season Stats 2015-16
6,Atlanta Hawks,82,99.2,37.1,86.1,43.2,8.3,24.5,33.8,16.7,22.1,75.5,11.5,35.0,46.5,22.0,8.6,5.0,15.5,18.3,NBA Team Regular Season Stats 2015-16
7,LA Clippers,82,100.2,36.8,84.7,43.4,7.9,23.3,33.8,18.8,25.1,75.1,11.8,34.9,46.7,21.2,7.1,3.2,14.7,22.5,NBA Team Regular Season Stats 2015-16
8,Indiana Pacers,82,100.5,37.4,84.9,44.0,8.3,24.8,33.4,17.4,23.2,75.1,10.7,33.8,44.5,20.8,7.7,4.5,15.2,20.4,NBA Team Regular Season Stats 2015-16
9,Charlotte Hornets,82,100.7,37.8,85.0,44.4,8.9,25.4,34.9,16.3,21.2,76.9,8.9,35.8,44.7,23.2,6.7,5.5,13.0,20.4,NBA Team Regular Season Stats 2015-16
10,New York Knicks,82,101.1,38.0,85.8,44.3,7.6,22.4,34.1,17.5,23.2,75.4,10.9,33.3,44.2,20.8,7.2,4.2,10.8,18.5,NBA Team Regular Season Stats 2015-16
11,Memphis Grizzlies,82,101.3,35.9,78.8,45.6,9.7,26.6,36.5,19.7,25.7,76.8,10.1,33.1,43.2,21.9,7.0,5.7,15.5,21.1,NBA Team Regular Season Stats 2015-16
12,Detroit Pistons,82,101.4,38.8,84.2,46.1,7.3,20.5,35.5,16.5,21.0,78.3,8.8,33.7,42.5,21.5,7.1,4.5,12.9,21.6,NBA Team Regular Season Stats 2015-16
13,Boston Celtics,82,102.5,37.5,85.0,44.1,7.8,23.3,33.6,19.7,26.0,75.5,11.4,34.6,46.0,20.9,7.6,5.5,15.8,21.0,NBA Team Regular Season Stats 2015-16
14,Dallas Mavericks,82,102.6,38.3,85.0,45.1,9.1,26.5,34.2,16.9,22.8,73.8,10.6,35.2,45.8,22.0,7.5,4.4,13.4,21.4,NBA Team Regular Season Stats 2015-16
15,Oklahoma City Thunder,82,102.9,38.4,87.7,43.8,8.1,23.8,34.2,18.0,23.8,75.6,11.3,28.9,40.2,21.5,8.8,4.5,12.5,20.2,NBA Team Regular Season Stats 2015-16
16,Chicago Bulls,82,103.1,39.4,89.4,44.1,7.9,23.0,34.5,16.3,22.1,73.7,11.8,34.1,45.9,22.5,8.0,5.7,11.3,18.7,NBA Team Regular Season Stats 2015-16
17,Milwaukee Bucks,82,103.2,37.8,83.1,45.4,9.3,26.5,35.2,18.4,23.9,76.8,11.5,31.5,43.0,24.5,8.3,5.6,14.8,19.5,NBA Team Regular Season Stats 2015-16
18,Orlando Magic,82,103.7,38.4,83.5,46.0,8.9,24.9,35.9,17.9,24.0,74.6,10.1,34.1,44.3,23.2,7.6,5.5,14.5,18.3,NBA Team Regular Season Stats 2015-16
19,Golden State Warriors,82,104.1,38.9,89.4,43.5,7.8,23.5,33.2,18.6,24.5,75.7,11.4,32.5,43.9,22.2,8.7,4.1,13.8,19.8,NBA Team Regular Season Stats 2015-16
20,Portland Trail Blazers,82,104.3,38.4,84.7,45.3,8.5,23.0,37.1,19.0,26.0,73.4,10.6,33.1,43.7,21.6,7.7,5.2,12.8,19.5,NBA Team Regular Season Stats 2015-16
21,Washington Wizards,82,104.6,38.7,83.8,46.2,9.0,24.2,37.1,18.3,23.7,76.9,9.4,34.9,44.3,22.5,8.1,4.3,15.6,20.1,NBA Team Regular Season Stats 2015-16
22,Denver Nuggets,82,105.0,38.8,84.2,46.1,9.2,24.8,37.1,18.2,23.9,76.1,9.7,32.9,42.7,23.5,8.0,6.3,13.1,20.9,NBA Team Regular Season Stats 2015-16
23,Minnesota Timberwolves,82,106.0,40.0,84.9,47.1,9.0,25.5,35.5,17.0,22.5,75.7,10.7,31.2,41.9,22.6,7.8,5.2,14.2,21.6,NBA Team Regular Season Stats 2015-16
24,Brooklyn Nets,82,106.0,40.8,85.2,47.9,9.5,25.6,36.9,15.0,19.6,76.3,10.2,33.2,43.4,24.5,8.8,5.2,13.5,18.4,NBA Team Regular Season Stats 2015-16
25,Houston Rockets,82,106.4,39.0,85.1,45.9,9.7,26.9,36.1,18.6,24.6,75.6,11.8,32.8,44.6,24.6,9.0,4.9,15.8,22.5,NBA Team Regular Season Stats 2015-16
26,New Orleans Pelicans,82,106.5,39.2,83.9,46.8,9.2,24.9,36.9,18.8,24.0,78.3,8.9,35.5,44.4,23.2,7.3,5.2,13.2,19.9,NBA Team Regular Season Stats 2015-16
27,Los Angeles Lakers,82,106.9,40.5,85.6,47.3,8.5,24.6,34.7,17.3,23.7,73.1,10.9,35.5,46.5,24.7,7.5,5.6,12.1,19.2,NBA Team Regular Season Stats 2015-16
28,Phoenix Suns,82,107.5,39.1,83.8,46.7,9.4,24.9,37.7,19.9,26.5,74.9,9.9,33.8,43.7,22.4,9.5,5.5,14.3,21.6,NBA Team Regular Season Stats 2015-16
29,Philadelphia 76ers,82,107.6,39.7,85.4,46.4,7.8,21.7,35.9,20.5,26.1,78.6,11.1,36.4,47.6,23.4,8.7,5.7,14.5,19.2,NBA Team Regular Season Stats 2015-16
30,Sacramento Kings,82,109.1,40.6,87.7,46.2,10.2,28.0,36.6,17.7,23.2,76.2,11.3,33.7,45.0,24.2,8.8,5.3,15.6,22.0,NBA Team Regular Season Stats 2015-16
