Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Orlando Magic,14,87.9,31.4,74.2,42.3,5.2,15.4,34.0,20.0,26.3,76.1,9.1,28.2,37.4,18.3,6.9,3.8,13.5,26.1,NBA Team Postseason Stats 2009-10
2,Boston Celtics,24,91.1,32.0,74.1,43.2,6.0,19.1,31.6,21.1,28.3,74.4,10.3,29.4,39.7,16.4,6.9,5.4,15.5,22.7,NBA Team Postseason Stats 2009-10
3,Dallas Mavericks,6,93.3,35.8,78.0,45.9,4.2,13.0,32.1,17.5,24.8,70.5,11.2,30.7,41.8,18.2,6.2,3.2,12.5,19.8,NBA Team Postseason Stats 2009-10
4,Milwaukee Bucks,7,93.7,36.3,80.4,45.1,5.0,14.1,35.4,16.1,20.7,77.9,13.9,28.9,42.7,18.0,6.4,6.9,12.1,19.1,NBA Team Postseason Stats 2009-10
5,Charlotte Bobcats,4,94.8,30.3,68.8,44.0,11.3,30.0,37.5,23.0,32.3,71.3,9.3,28.5,37.8,15.5,7.8,6.5,12.8,23.5,NBA Team Postseason Stats 2009-10
6,Oklahoma City Thunder,6,95.5,36.0,81.5,44.2,7.5,22.5,33.3,16.0,23.2,69.1,11.3,32.0,43.3,20.8,6.2,6.2,13.0,24.8,NBA Team Postseason Stats 2009-10
7,Miami Heat,5,95.8,34.6,73.0,47.4,7.2,16.4,43.9,19.4,25.4,76.4,7.4,32.2,39.6,22.0,9.6,4.4,15.6,18.8,NBA Team Postseason Stats 2009-10
8,Atlanta Hawks,11,96.3,35.5,76.8,46.2,8.2,23.7,34.5,17.2,23.2,74.1,10.3,30.6,40.9,18.3,5.8,4.0,12.2,20.6,NBA Team Postseason Stats 2009-10
9,Los Angeles Lakers,23,97.3,34.6,79.3,43.6,6.2,19.2,32.1,22.0,27.8,78.9,11.5,28.5,40.0,20.0,6.6,4.8,12.5,23.3,NBA Team Postseason Stats 2009-10
10,Cleveland Cavaliers,11,98.9,37.5,82.3,45.5,4.3,13.8,30.9,19.7,26.3,75.1,10.0,30.4,40.4,21.2,6.8,4.2,11.5,24.5,NBA Team Postseason Stats 2009-10
11,San Antonio Spurs,10,99.5,36.0,80.0,45.0,7.9,20.5,38.5,19.6,25.1,78.1,11.1,31.9,43.0,18.4,7.1,4.5,13.2,22.6,NBA Team Postseason Stats 2009-10
12,Phoenix Suns,16,102.5,37.9,81.0,46.8,7.1,19.1,37.0,19.6,26.6,73.6,11.1,28.4,39.5,21.8,6.7,5.2,11.6,23.3,NBA Team Postseason Stats 2009-10
13,Portland Trail Blazers,6,103.3,37.0,78.3,47.2,10.0,25.5,39.2,19.3,24.8,77.9,10.8,30.0,40.8,21.0,5.2,4.2,12.7,24.2,NBA Team Postseason Stats 2009-10
14,Chicago Bulls,5,106.2,38.2,77.8,49.1,10.4,25.8,40.3,19.4,26.8,72.4,9.0,32.4,41.4,23.2,5.2,8.2,13.6,21.0,NBA Team Postseason Stats 2009-10
15,Utah Jazz,10,109.3,38.4,79.7,48.2,6.4,18.4,34.8,26.1,33.9,77.0,11.7,30.3,42.0,19.1,7.5,5.8,13.0,27.2,NBA Team Postseason Stats 2009-10
16,Denver Nuggets,6,110.5,38.5,76.0,50.7,6.3,16.5,38.4,27.2,38.0,71.5,8.8,29.7,38.5,24.7,5.5,4.3,14.5,27.8,NBA Team Postseason Stats 2009-10
