Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Alex Abrines,GF,6-6,190,25,OKC,31,2,Barca (Spain),2013 Rnd 2 Pick 2,Spain,NBA 2018-2019 Players Information
Quincy Acy,F,6-7,240,28,PHX,10,6,Baylor,2012 Rnd 2 Pick 7,United States,NBA 2018-2019 Players Information
Jaylen Adams,PG,6-0,225,22,ATL,34,0,St. Bonaventure,"2018 NBA Draft, Undrafted",United States,NBA 2018-2019 Players Information
Steven Adams,C,6-11,265,25,OKC,80,5,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2018-2019 Players Information
Bam Adebayo,C,6-9,255,21,MIA,82,1,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2018-2019 Players Information
Deng Adel,SF,6-7,196,22,CLE,19,0,Louisville,"2018 NBA Draft, Undrafted",South SudanAustralia,NBA 2018-2019 Players Information
DeVaughn Akoon-Purcell,GF,6-6,200,25,DEN,7,0,Illinois State,"2016 NBA Draft, Undrafted",United States,NBA 2018-2019 Players Information
LaMarcus Aldridge,FC,6-11,265,33,SAS,81,12,Texas,2006 Rnd 1 Pick 2,United States,NBA 2018-2019 Players Information
Rawle Alkins,SG,6-5,225,21,CHI,10,0,Arizona,"2018 NBA Draft, Undrafted",United States,NBA 2018-2019 Players Information
Grayson Allen,SG,6-4,198,23,UTA,38,0,Duke,2018 Rnd 1 Pick 21,United States,NBA 2018-2019 Players Information
Jarrett Allen,C,6-9,243,20,BRK,80,1,Texas,2017 Rnd 1 Pick 22,United States,NBA 2018-2019 Players Information
Kadeem Allen,G,6-3,200,26,NYK,19,1,Arizona,2017 Rnd 2 Pick 23,United States,NBA 2018-2019 Players Information
Al-Farouq Aminu,F,6-9,220,28,POR,81,8,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2018-2019 Players Information
Justin Anderson,F,6-6,230,25,ATL,48,3,Virginia,2015 Rnd 1 Pick 21,United States,NBA 2018-2019 Players Information
Kyle Anderson,PF,6-9,230,25,MEM,43,4,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2018-2019 Players Information
Ryan Anderson,PF,6-10,240,30,"MIA, PHX",25,10,California,2008 Rnd 1 Pick 21,United States,NBA 2018-2019 Players Information
Ike Anigbogu,C,6-9,252,20,IND,3,1,UCLA,2017 Rnd 2 Pick 17,United States,NBA 2018-2019 Players Information
Giannis Antetokounmpo,F,6-11,243,24,MIL,72,5,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2018-2019 Players Information
Kostas Antetokounmpo,PF,6-10,200,21,DAL,2,0,Dayton,2018 Rnd 2 Pick 30,GreeceUnited States,NBA 2018-2019 Players Information
Carmelo Anthony,F,6-8,240,34,HOU,10,15,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2018-2019 Players Information
OG Anunoby,SF,6-7,240,21,TOR,67,1,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2018-2019 Players Information
Ryan Arcidiacono,G,6-3,195,24,CHI,81,1,Villanova,"2016 NBA Draft, Undrafted",United States,NBA 2018-2019 Players Information
Trevor Ariza,SF,6-8,215,33,"PHX, WAS",69,14,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2018-2019 Players Information
D.J. Augustin,G,6-0,183,31,ORL,81,10,Texas,2008 Rnd 1 Pick 9,United States,NBA 2018-2019 Players Information
Deandre Ayton,C,7-0,247,20,PHX,71,0,Arizona,2018 Rnd 1 Pick 1,Bahamas,NBA 2018-2019 Players Information
Dwayne Bacon,SF,6-6,221,23,CHA,43,1,Florida State,2017 Rnd 2 Pick 10,United States,NBA 2018-2019 Players Information
Marvin Bagley III,PF,6-10,235,19,SAC,62,0,Duke,2018 Rnd 1 Pick 2,United States,NBA 2018-2019 Players Information
Ron Baker,G,6-4,220,25,"NYK, WAS",15,2,Wichita State,"2016 NBA Draft, Undrafted",United States,NBA 2018-2019 Players Information
Wade Baldwin IV,G,6-4,220,22,POR,16,2,Vanderbilt,2016 Rnd 1 Pick 17,United States,NBA 2018-2019 Players Information
Lonzo Ball,PG,6-6,190,21,LAL,47,1,UCLA,2017 Rnd 1 Pick 2,United States,NBA 2018-2019 Players Information
Mohamed Bamba,C,7-0,231,20,ORL,47,0,Texas,2018 Rnd 1 Pick 6,United States,NBA 2018-2019 Players Information
J.J. Barea,G,5-10,180,34,DAL,38,12,Northeastern,"2006 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2018-2019 Players Information
Harrison Barnes,SF,6-8,225,26,"DAL, SAC",77,6,North Carolina,2012 Rnd 1 Pick 7,United States,NBA 2018-2019 Players Information
Will Barton,GF,6-5,181,28,DEN,43,6,Memphis,2012 Rnd 2 Pick 10,United States,NBA 2018-2019 Players Information
