Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Alex Acker,SG,6-5,185,26,"DET, LAC",25,1,Pepperdine,2005 Rnd 2 Pick 30,United States,NBA 2008-2009 Players Information
Hassan Adams,G,6-4,220,24,TOR,12,1,Arizona,2006 Rnd 2 Pick 24,United States,NBA 2008-2009 Players Information
Arron Afflalo,SG,6-5,210,23,DET,74,1,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2008-2009 Players Information
Maurice Ager,F-G,6-5,202,25,NJN,20,2,Michigan State,2006 Rnd 1 Pick 28,United States,NBA 2008-2009 Players Information
Blake Ahearn,G,6-3,190,24,SAS,3,1,Missouri State,"2007 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Alexis Ajinca,C,7-2,248,20,CHA,31,0,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France,NBA 2008-2009 Players Information
LaMarcus Aldridge,FC,6-11,265,23,POR,81,2,Texas,2006 Rnd 1 Pick 2,United States,NBA 2008-2009 Players Information
Joe Alexander,SF,6-8,230,22,MIL,59,0,West Virginia,2008 Rnd 1 Pick 8,United StatesIsrael,NBA 2008-2009 Players Information
Malik Allen,F,6-10,255,30,MIL,49,8,Villanova,"2000 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Ray Allen,SG,6-5,205,33,BOS,79,12,UConn,1996 Rnd 1 Pick 5,United States,NBA 2008-2009 Players Information
Tony Allen,SG,6-4,213,27,BOS,46,4,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2008-2009 Players Information
Morris Almond,GF,6-6,220,24,UTA,25,1,Rice,2007 Rnd 1 Pick 25,United States,NBA 2008-2009 Players Information
Rafer Alston,G,6-2,175,32,"HOU, ORL",77,9,Fresno State,1998 Rnd 2 Pick 10,United States,NBA 2008-2009 Players Information
Lou Amundson,PF,6-9,220,26,PHX,76,2,UNLV,"2006 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Chris Andersen,FC,6-10,245,30,DEN,71,5,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Ryan Anderson,PF,6-10,240,20,NJN,66,0,California,2008 Rnd 1 Pick 21,United States,NBA 2008-2009 Players Information
Carmelo Anthony,F,6-8,240,24,DEN,66,5,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2008-2009 Players Information
Joel Anthony,C,6-9,245,26,MIA,65,1,UNLV,"2007 NBA Draft, Undrafted",Canada,NBA 2008-2009 Players Information
Gilbert Arenas,G,6-3,191,27,WAS,2,7,Arizona,2001 Rnd 2 Pick 2,United States,NBA 2008-2009 Players Information
Trevor Ariza,SF,6-8,215,23,LAL,82,4,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2008-2009 Players Information
Hilton Armstrong,C,6-11,235,24,NOP,70,2,UConn,2006 Rnd 1 Pick 12,United States,NBA 2008-2009 Players Information
Darrell Arthur,PF,6-9,235,20,MEM,76,0,Kansas,2008 Rnd 1 Pick 27,United States,NBA 2008-2009 Players Information
Chucky Atkins,G,5-11,185,34,"DEN, OKC",32,10,South Florida,"1996 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
D.J. Augustin,G,6-0,183,21,CHA,72,0,Texas,2008 Rnd 1 Pick 9,United States,NBA 2008-2009 Players Information
Kelenna Azubuike,F-G,6-5,220,25,GSW,74,2,Kentucky,"2005 NBA Draft, Undrafted",EnglandNigeria,NBA 2008-2009 Players Information
Renaldo Balkman,F,6-8,208,24,DEN,53,2,South Carolina,2006 Rnd 1 Pick 20,United StatesPuerto Rico,NBA 2008-2009 Players Information
Marcus Banks,G,6-2,200,27,"MIA, TOR",22,5,UNLV,2003 Rnd 1 Pick 13,United States,NBA 2008-2009 Players Information
Leandro Barbosa,G,6-3,194,26,PHX,70,5,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil,NBA 2008-2009 Players Information
J.J. Barea,G,5-10,180,24,DAL,79,2,Northeastern,"2006 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2008-2009 Players Information
Andrea Bargnani,FC,7-0,245,23,TOR,78,2,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy,NBA 2008-2009 Players Information
Matt Barnes,GF,6-7,226,28,PHX,77,6,UCLA,2002 Rnd 2 Pick 17,United States,NBA 2008-2009 Players Information
Brent Barry,G,6-7,210,37,HOU,56,13,Oregon State,1995 Rnd 1 Pick 15,United States,NBA 2008-2009 Players Information
Brandon Bass,PF,6-8,250,23,DAL,81,3,LSU,2005 Rnd 2 Pick 3,United States,NBA 2008-2009 Players Information
Maceo Baston,FC,6-11,230,32,IND,27,4,Michigan,1998 Rnd 2 Pick 29,United States,NBA 2008-2009 Players Information
Tony Battie,PF,6-11,230,33,ORL,77,11,Texas Tech,1997 Rnd 1 Pick 5,United States,NBA 2008-2009 Players Information
Shane Battier,F,6-8,220,30,HOU,60,7,Duke,2001 Rnd 1 Pick 6,United States,NBA 2008-2009 Players Information
Nicolas Batum,F,6-8,230,20,POR,79,0,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France,NBA 2008-2009 Players Information
Jerryd Bayless,G,6-3,210,20,POR,53,0,Arizona,2008 Rnd 1 Pick 11,United States,NBA 2008-2009 Players Information
Michael Beasley,PF,6-9,235,20,MIA,81,0,Kansas State,2008 Rnd 1 Pick 2,United States,NBA 2008-2009 Players Information
Marco Belinelli,G,6-5,225,22,GSW,42,1,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy,NBA 2008-2009 Players Information
Charlie Bell,G,6-3,200,29,MIL,70,4,Michigan State,"2001 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Raja Bell,SG,6-5,204,32,"CHA, PHX",67,9,Florida International,"1999 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Mike Bibby,G,6-2,195,30,ATL,79,10,Arizona,1998 Rnd 1 Pick 2,United States,NBA 2008-2009 Players Information
Andris Biedrins,C,7-0,250,22,GSW,62,4,BK Skonto Riga  (Latvia),2004 Rnd 1 Pick 11,Latvia,NBA 2008-2009 Players Information
Chauncey Billups,G,6-3,210,32,"DEN, DET",79,11,Colorado,1997 Rnd 1 Pick 3,United States,NBA 2008-2009 Players Information
Steve Blake,G,6-3,172,29,POR,69,5,Maryland,2003 Rnd 2 Pick 9,United States,NBA 2008-2009 Players Information
Andray Blatche,PF,6-11,260,22,WAS,71,3,South Kent School (Connecticut),2005 Rnd 2 Pick 19,United StatesPhilippines,NBA 2008-2009 Players Information
Mark Blount,C-F,7-0,250,33,MIA,20,9,Pittsburgh,1997 Rnd 2 Pick 26,United States,NBA 2008-2009 Players Information
Keith Bogans,GF,6-5,215,28,"MIL, ORL",65,5,Kentucky,2003 Rnd 2 Pick 14,United States,NBA 2008-2009 Players Information
Andrew Bogut,C,7-0,260,24,MIL,36,3,Utah,2005 Rnd 1 Pick 1,Australia,NBA 2008-2009 Players Information
Matt Bonner,FC,6-10,235,28,SAS,81,4,Florida,2003 Rnd 2 Pick 16,United States,NBA 2008-2009 Players Information
Josh Boone,C,6-10,237,24,NJN,62,2,UConn,2006 Rnd 1 Pick 23,United States,NBA 2008-2009 Players Information
Calvin Booth,C,6-11,230,32,"MIN, SAC",8,9,Penn State,1999 Rnd 2 Pick 6,United States,NBA 2008-2009 Players Information
Carlos Boozer,PF,6-9,266,27,UTA,37,6,Duke,2002 Rnd 2 Pick 6,GermanyUnited States,NBA 2008-2009 Players Information
Chris Bosh,PF,6-11,235,24,TOR,77,5,Georgia Tech,2003 Rnd 1 Pick 4,United States,NBA 2008-2009 Players Information
Bruce Bowen,F,6-7,200,37,SAS,80,13,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Ryan Bowen,F,6-9,218,33,NOP,21,8,Iowa,1998 Rnd 2 Pick 26,United States,NBA 2008-2009 Players Information
Elton Brand,PF,6-9,254,29,PHI,29,9,Duke,1999 Rnd 1 Pick 1,United States,NBA 2008-2009 Players Information
Corey Brewer,GF,6-9,186,22,MIN,15,1,Florida,2007 Rnd 1 Pick 7,United States,NBA 2008-2009 Players Information
Ronnie Brewer,GF,6-7,235,23,UTA,81,2,Arkansas,2006 Rnd 1 Pick 14,United States,NBA 2008-2009 Players Information
Aaron Brooks,G,6-0,161,24,HOU,80,1,Oregon,2007 Rnd 1 Pick 26,United States,NBA 2008-2009 Players Information
Andre Brown,FC,6-9,245,27,CHA,4,3,DePaul,"2004 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Bobby Brown,PG,6-2,175,24,"MIN, SAC",68,0,Cal State Fullerton,"2007 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Dee Brown,G,6-0,185,24,"PHX, WAS",19,1,Illinois,2006 Rnd 2 Pick 16,United States,NBA 2008-2009 Players Information
Devin Brown,SF,6-5,220,30,NOP,63,6,Texas-San Antonio,"2002 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Kwame Brown,C,6-11,290,26,DET,58,7,Glynn Academy (Georgia),2001 Rnd 1 Pick 1,United States,NBA 2008-2009 Players Information
Shannon Brown,G,6-4,210,23,"CHA, LAL",48,2,Michigan State,2006 Rnd 1 Pick 25,United States,NBA 2008-2009 Players Information
Kobe Bryant,SG,6-6,212,30,LAL,82,12,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States,NBA 2008-2009 Players Information
Greg Buckner,G-F,6-4,210,32,MEM,63,10,Clemson,1998 Rnd 2 Pick 24,United States,NBA 2008-2009 Players Information
Caron Butler,SF,6-7,228,28,WAS,67,6,UConn,2002 Rnd 1 Pick 10,United States,NBA 2008-2009 Players Information
Rasual Butler,GF,6-7,215,29,NOP,82,6,La Salle,2002 Rnd 2 Pick 24,United States,NBA 2008-2009 Players Information
Andrew Bynum,C,7-0,285,21,LAL,50,3,St. Joseph High School (New Jersey),2005 Rnd 1 Pick 10,United States,NBA 2008-2009 Players Information
Will Bynum,G,6-0,185,26,DET,57,1,Georgia Tech,"2005 NBA Draft, Undrafted",United States,NBA 2008-2009 Players Information
Jose Calderon,G,6-3,200,27,TOR,68,3,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain,NBA 2008-2009 Players Information
Marcus Camby,C,6-11,240,34,LAC,62,12,Massachusetts,1996 Rnd 1 Pick 2,United States,NBA 2008-2009 Players Information
Brian Cardinal,PF,6-8,245,31,MIN,64,8,Purdue,2000 Rnd 2 Pick 15,United States,NBA 2008-2009 Players Information
