Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Mahdi Abdul-Rahman,G,6-2,185,23,LAL,80,1,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Jay Arnette,G,6-2,175,27,CIN,3,2,Texas,1960 Rnd 2 Pick 1,United States,NBA 1965-1966 Players Information
Al Attles,PG,6-0,175,29,GSW,79,5,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1965-1966 Players Information
Jim Barnes,FC,6-8,210,24,"NYK, WAS",74,1,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1965-1966 Players Information
Dick Barnett,SG,6-4,190,29,NYK,75,5,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1965-1966 Players Information
John Barnhill,G,6-1,180,27,"DET, STH",76,3,Tennessee State,1959 Rnd 11 Pick 6,United States,NBA 1965-1966 Players Information
Rick Barry,F,6-7,205,21,GSW,80,0,Miami (FL),1965 Rnd 1 Pick 2,United States,NBA 1965-1966 Players Information
Elgin Baylor,F,6-5,225,31,LAL,65,7,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1965-1966 Players Information
Zelmo Beaty,FC,6-9,225,26,STH,80,3,Prairie View A&M,1962 Rnd 1 Pick 3,United States,NBA 1965-1966 Players Information
Walt Bellamy,C,6-11,225,26,"NYK, WAS",80,4,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1965-1966 Players Information
Al Bianchi,G,6-3,185,33,PHI,78,9,Bowling Green,1954 Rnd 2 Pick 9,United States,NBA 1965-1966 Players Information
Ron Bonham,F,6-5,192,23,BOS,38,1,Cincinnati,1964 Rnd 2 Pick 9,United States,NBA 1965-1966 Players Information
Bob Boozer,PF,6-8,215,28,LAL,77,5,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1965-1966 Players Information
Gary Bradds,C,6-8,210,23,WAS,3,1,Ohio State,1964 Rnd 1 Pick 3,United States,NBA 1965-1966 Players Information
Jesse Branson,F,6-7,195,24,PHI,5,0,Elon,1965 Rnd 2 Pick 5,United States,NBA 1965-1966 Players Information
Bill Bridges,FC,6-6,228,26,STH,78,3,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1965-1966 Players Information
Emmette Bryant,PG,6-1,175,27,NYK,71,1,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1965-1966 Players Information
Bill Buntin,FC,6-7,250,23,DET,41,0,Michigan,"1965 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Donnie Butcher,G,6-2,200,30,DET,15,4,Pikeville,1961 Rnd 7 Pick 1,United States,NBA 1965-1966 Players Information
Joe Caldwell,GF,6-5,195,24,"DET, STH",79,1,Arizona State,1964 Rnd 1 Pick 2,United States,NBA 1965-1966 Players Information
Wilt Chamberlain,C,7-1,265,29,PHI,79,6,Kansas,"1959 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Len Chappell,PF,6-8,240,25,NYK,45,3,Wake Forest,1962 Rnd 1 Pick 4,United States,NBA 1965-1966 Players Information
Barry Clemens,PF,6-6,210,22,NYK,66,0,Ohio Wesleyan,1965 Rnd 3 Pick 2,United States,NBA 1965-1966 Players Information
Mel Counts,FC,7-0,230,24,BOS,67,1,Oregon State,1964 Rnd 1 Pick 7,United States,NBA 1965-1966 Players Information
Billy Cunningham,FC,6-7,210,22,PHI,80,0,North Carolina,1965 Rnd 1 Pick 5,United States,NBA 1965-1966 Players Information
Dave DeBusschere,F,6-6,220,25,DET,79,3,Detroit-Mercy,"1962 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Connie Dierking,C,6-9,222,29,CIN,56,4,Cincinnati,1958 Rnd 1 Pick 5,United States,NBA 1965-1966 Players Information
Johnny Egan,PG,5-11,180,27,"NYK, WAS",76,4,Providence,1961 Rnd 2 Pick 3,United States,NBA 1965-1966 Players Information
Leroy Ellis,FC,6-10,210,25,LAL,80,3,St. John's,1962 Rnd 1 Pick 6,United States,NBA 1965-1966 Players Information
Wayne Embry,C,6-8,240,28,CIN,80,7,Miami (OH),1958 Rnd 3 Pick 7,United States,NBA 1965-1966 Players Information
Keith Erickson,GF,6-5,195,21,GSW,59,0,UCLA,1965 Rnd 3 Pick 1,United States,NBA 1965-1966 Players Information
John Fairchild,FC,6-8,205,22,LAL,24,0,Brigham Young,1965 Rnd 2 Pick 8,United States,NBA 1965-1966 Players Information
Mike Farmer,F,6-7,210,29,STH,8,6,San Francisco,1958 Rnd 1 Pick 3,United States,NBA 1965-1966 Players Information
Bob Ferry,FC,6-8,230,28,WAS,65,6,Saint Louis,"1959 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Will Frazier,F,6-7,210,23,GSW,2,0,Grambling State,1965 Rnd 2 Pick 1,United States,NBA 1965-1966 Players Information
Dave Gambee,F,6-6,215,28,PHI,72,7,Oregon State,1958 Rnd 1 Pick 6,United States,NBA 1965-1966 Players Information
Tom Gola,GF,6-6,205,33,NYK,74,9,La Salle,"1955 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Gail Goodrich,G,6-1,170,22,LAL,64,0,UCLA,"1965 NBA Draft, Undrafted",United States,NBA 1965-1966 Players Information
Johnny Green,SF,6-5,200,32,"NYK, WAS",79,6,Michigan State,1959 Rnd 1 Pick 5,United States,NBA 1965-1966 Players Information
Si Green,G,6-2,185,32,BOS,10,8,Duquesne,1956 Rnd 1 Pick 1,United States,NBA 1965-1966 Players Information
Hal Greer,G,6-2,175,29,PHI,80,7,Marshall,1958 Rnd 2 Pick 6,United States,NBA 1965-1966 Players Information
Richie Guerin,SG,6-4,195,33,STH,80,9,Iona,1954 Rnd 2 Pick 8,United States,NBA 1965-1966 Players Information
Cliff Hagan,GF,6-4,210,34,STH,74,9,Kentucky,1953 Rnd 3 Pick 6,United States,NBA 1965-1966 Players Information
Happy Hairston,F,6-7,225,23,CIN,72,1,NYU,1964 Rnd 4 Pick 8,United States,NBA 1965-1966 Players Information
John Havlicek,GF,6-5,200,25,BOS,71,1,Ohio State,1962 Rnd 1 Pick 7,United States,NBA 1965-1966 Players Information
