Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Arron Afflalo,SG,6-5,210,24,DEN,82,2,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2009-2010 Players Information
Alexis Ajinca,C,7-2,248,21,CHA,6,1,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France,NBA 2009-2010 Players Information
LaMarcus Aldridge,FC,6-11,265,24,POR,78,3,Texas,2006 Rnd 1 Pick 2,United States,NBA 2009-2010 Players Information
Joe Alexander,SF,6-8,230,23,CHI,8,1,West Virginia,2008 Rnd 1 Pick 8,United StatesIsrael,NBA 2009-2010 Players Information
Malik Allen,F,6-10,255,31,DEN,51,9,Villanova,"2000 NBA Draft, Undrafted",United States,NBA 2009-2010 Players Information
Ray Allen,SG,6-5,205,34,BOS,80,13,UConn,1996 Rnd 1 Pick 5,United States,NBA 2009-2010 Players Information
Tony Allen,SG,6-4,213,28,BOS,54,5,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2009-2010 Players Information
Rafer Alston,G,6-2,175,33,"MIA, NJN",52,10,Fresno State,1998 Rnd 2 Pick 10,United States,NBA 2009-2010 Players Information
Lou Amundson,PF,6-9,220,27,PHX,79,3,UNLV,"2006 NBA Draft, Undrafted",United States,NBA 2009-2010 Players Information
Chris Andersen,FC,6-10,245,31,DEN,76,6,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2009-2010 Players Information
David Andersen,F,7-0,242,29,HOU,63,0,Virtus Bologna (Italy),2002 Rnd 2 Pick 8,Australia,NBA 2009-2010 Players Information
Antonio Anderson,SG,6-6,215,24,OKC,1,0,Memphis,"2009 NBA Draft, Undrafted",United States,NBA 2009-2010 Players Information
Ryan Anderson,PF,6-10,240,21,ORL,63,1,California,2008 Rnd 1 Pick 21,United States,NBA 2009-2010 Players Information
Carmelo Anthony,F,6-8,240,25,DEN,69,6,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2009-2010 Players Information
Joel Anthony,C,6-9,245,27,MIA,80,2,UNLV,"2007 NBA Draft, Undrafted",Canada,NBA 2009-2010 Players Information
Gilbert Arenas,G,6-3,191,28,WAS,32,8,Arizona,2001 Rnd 2 Pick 2,United States,NBA 2009-2010 Players Information
Trevor Ariza,SF,6-8,215,24,HOU,72,5,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2009-2010 Players Information
Hilton Armstrong,C,6-11,235,25,"HOU, NOP, SAC",33,3,UConn,2006 Rnd 1 Pick 12,United States,NBA 2009-2010 Players Information
Carlos Arroyo,PG,6-2,202,30,MIA,72,7,Florida International,"2001 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2009-2010 Players Information
Darrell Arthur,PF,6-9,235,21,MEM,32,1,Kansas,2008 Rnd 1 Pick 27,United States,NBA 2009-2010 Players Information
Chucky Atkins,G,5-11,185,35,DET,40,11,South Florida,"1996 NBA Draft, Undrafted",United States,NBA 2009-2010 Players Information
D.J. Augustin,G,6-0,183,22,CHA,80,1,Texas,2008 Rnd 1 Pick 9,United States,NBA 2009-2010 Players Information
Jeff Ayres,FC,6-10,240,22,POR,39,0,Arizona State,2009 Rnd 2 Pick 1,United States,NBA 2009-2010 Players Information
Kelenna Azubuike,F-G,6-5,220,26,GSW,9,3,Kentucky,"2005 NBA Draft, Undrafted",EnglandNigeria,NBA 2009-2010 Players Information
