Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,32,LAL,82,10,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1979-1980 Players Information
Tom Abernethy,PF,6-7,220,25,GSW,65,3,Indiana,1976 Rnd 3 Pick 9,United States,NBA 1979-1980 Players Information
Alvan Adams,FC,6-9,210,25,PHX,75,4,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
Tiny Archibald,PG,6-1,150,31,BOS,80,9,UTEP,1970 Rnd 2 Pick 2,United States,NBA 1979-1980 Players Information
Dennis Awtrey,C,6-10,235,32,CHI,26,9,Santa Clara,1970 Rnd 3 Pick 12,United States,NBA 1979-1980 Players Information
Gus Bailey,GF,6-5,185,29,WAS,20,5,UTEP,1974 Rnd 2 Pick 5,United States,NBA 1979-1980 Players Information
James Bailey,FC,6-9,220,22,SEA,67,0,Rutgers,1979 Rnd 1 Pick 6,United States,NBA 1979-1980 Players Information
Greg Ballard,F,6-7,215,25,WAS,82,2,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
Mike Bantom,FC,6-9,200,28,IND,77,6,Saint Francis of Assisi College,1973 Rnd 1 Pick 8,United States,NBA 1979-1980 Players Information
Marvin Barnes,FC,6-8,210,27,SDC,19,3,Providence,1974 Rnd 1 Pick 2,United States,NBA 1979-1980 Players Information
Rick Barry,F,6-7,205,35,HOU,72,9,Miami (FL),1965 Rnd 1 Pick 2,United States,NBA 1979-1980 Players Information
Tim Bassett,FC,6-8,225,28,"NJN, SAN",12,3,Georgia,1973 Rnd 7 Pick 3,United States,NBA 1979-1980 Players Information
Billy Ray Bates,SG,6-4,210,23,POR,16,1,Kentucky State,1978 Rnd 3 Pick 3,United States,NBA 1979-1980 Players Information
Ron Behagen,FC,6-9,185,29,WAS,6,6,Minnesota,1973 Rnd 1 Pick 7,United States,NBA 1979-1980 Players Information
Kent Benson,C,6-10,235,25,"DET, MIL",73,2,Indiana,1977 Rnd 1 Pick 1,United States,NBA 1979-1980 Players Information
Delmer Beshore,G,5-11,165,23,CHI,68,1,California,"1978 NBA Draft, Undrafted",United States,NBA 1979-1980 Players Information
Henry Bibby,G,6-1,185,30,PHI,82,7,UCLA,1972 Rnd 4 Pick 11,United States,NBA 1979-1980 Players Information
Larry Bird,SF,6-9,220,23,BOS,82,0,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1979-1980 Players Information
Otis Birdsong,GF,6-3,190,24,KCK,82,2,Houston,1977 Rnd 1 Pick 2,United States,NBA 1979-1980 Players Information
Ron Boone,GF,6-2,200,33,"LAL, UTH",81,3,Idaho State,1968 Rnd 11 Pick 13,United States,NBA 1979-1980 Players Information
Lawrence Boston,PF,6-8,225,23,WAS,13,1,Maryland,1978 Rnd 4 Pick 15,United States,NBA 1979-1980 Players Information
Tom Boswell,FC,6-9,220,26,"DEN, UTH",79,4,South Carolina,1975 Rnd 1 Pick 17,United States,NBA 1979-1980 Players Information
Winford Boynes,SG,6-6,185,22,NJN,63,1,San Francisco,1978 Rnd 1 Pick 13,United States,NBA 1979-1980 Players Information
Alonzo Bradley,SF,6-6,190,26,HOU,22,0,Texas Southern,1977 Rnd 2 Pick 7,United States,NBA 1979-1980 Players Information
Dudley Bradley,GF,6-6,195,22,IND,82,0,North Carolina,1979 Rnd 1 Pick 13,United States,NBA 1979-1980 Players Information
Mike Bratz,G,6-2,185,24,PHX,82,2,Stanford,1977 Rnd 3 Pick 22,United States,NBA 1979-1980 Players Information
Jim Brewer,PF,6-9,210,28,POR,66,6,Minnesota,1973 Rnd 1 Pick 2,United States,NBA 1979-1980 Players Information
Ron Brewer,G,6-4,180,24,POR,82,1,Arkansas,1978 Rnd 1 Pick 7,United States,NBA 1979-1980 Players Information
Junior Bridgeman,GF,6-5,210,26,MIL,81,4,Louisville,1975 Rnd 1 Pick 8,United States,NBA 1979-1980 Players Information
Allan Bristow,GF,6-7,210,28,UTA,82,6,Virginia Tech,1973 Rnd 2 Pick 3,United States,NBA 1979-1980 Players Information
Fred Brown,G,6-3,182,31,SEA,80,8,Iowa,1971 Rnd 1 Pick 6,United States,NBA 1979-1980 Players Information
John Brown,SF,6-7,220,28,"ATL, UTH",31,6,Missouri,1973 Rnd 1 Pick 10,GermanyUnited States,NBA 1979-1980 Players Information
Roger Brown,C,6-11,225,30,CHI,4,3,Kansas,1971 Rnd 4 Pick 13,United States,NBA 1979-1980 Players Information
Joe Bryant,PF,6-9,185,25,SDC,81,4,La Salle,1975 Rnd 1 Pick 14,United States,NBA 1979-1980 Players Information
Quinn Buckner,G,6-3,190,25,MIL,67,3,Indiana,1976 Rnd 1 Pick 7,United States,NBA 1979-1980 Players Information
Tom Burleson,C,7-2,225,28,KCK,33,5,NC State,1974 Rnd 1 Pick 3,United States,NBA 1979-1980 Players Information
Don Buse,G,6-4,190,29,PHX,81,3,Evansville,1972 Rnd 3 Pick 4,United States,NBA 1979-1980 Players Information
Marty Byrnes,SF,6-7,215,23,LAL,31,1,Syracuse,1978 Rnd 1 Pick 19,United States,NBA 1979-1980 Players Information
Corky Calhoun,F,6-7,210,29,IND,7,7,Pennsylvania,1972 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
Mack Calvin,PG,6-0,165,32,UTA,47,2,USC,1969 Rnd 14 Pick 8,United States,NBA 1979-1980 Players Information
Austin Carr,G,6-4,200,31,CLE,77,8,Notre Dame,1971 Rnd 1 Pick 1,United States,NBA 1979-1980 Players Information
Kenny Carr,GF,6-7,220,24,"CLE, LAL",79,2,NC State,1977 Rnd 1 Pick 6,United States,NBA 1979-1980 Players Information
M.L. Carr,GF,6-6,205,29,BOS,82,5,Guilford,1973 Rnd 5 Pick 7,United States,NBA 1979-1980 Players Information
Bob Carrington,SG,6-6,195,26,SDC,10,3,Boston College,1976 Rnd 2 Pick 11,United States,NBA 1979-1980 Players Information
Ron Carter,SG,6-5,190,23,IND,12,1,Virginia Military,1978 Rnd 2 Pick 4,United States,NBA 1979-1980 Players Information
Bill Cartwright,C,7-1,245,22,NYK,82,0,San Francisco,1979 Rnd 1 Pick 3,United States,NBA 1979-1980 Players Information
Harvey Catchings,FC,6-9,218,28,MIL,72,5,Hardin-Simmons,1973 Rnd 9 Pick 1,United States,NBA 1979-1980 Players Information
Don Chaney,G,6-5,210,33,BOS,60,10,Houston,1968 Rnd 1 Pick 12,United States,NBA 1979-1980 Players Information
Mo Cheeks,PG,6-1,180,23,PHI,79,1,West Texas A&M,1978 Rnd 2 Pick 14,United States,NBA 1979-1980 Players Information
Phil Chenier,PG,6-3,180,29,"IND, WAS",42,8,California,"1971 NBA Draft, Undrafted",United States,NBA 1979-1980 Players Information
Jim Chones,FC,6-11,220,30,LAL,82,5,Marquette,1973 Rnd 2 Pick 13,United States,NBA 1979-1980 Players Information
Jim Cleamons,SG,6-3,185,30,"NYK, WAS",79,8,Ohio State,1971 Rnd 1 Pick 13,United States,NBA 1979-1980 Players Information
Doug Collins,GF,6-6,180,28,PHI,36,6,Illinois State,1973 Rnd 1 Pick 1,United States,NBA 1979-1980 Players Information
Jeff Cook,FC,6-10,215,23,PHX,66,1,Idaho State,1978 Rnd 3 Pick 5,United States,NBA 1979-1980 Players Information
Michael Cooper,SG,6-5,170,23,LAL,81,1,New Mexico,1978 Rnd 3 Pick 16,United States,NBA 1979-1980 Players Information
Wayne Cooper,FC,6-10,220,23,GSW,79,1,New Orleans,1978 Rnd 2 Pick 18,United States,NBA 1979-1980 Players Information
Hollis Copeland,SF,6-6,190,24,NYK,74,1,Rutgers,1978 Rnd 3 Pick 2,United States,NBA 1979-1980 Players Information
Dave Corzine,C,6-11,250,23,WAS,78,1,DePaul,1978 Rnd 1 Pick 18,United States,NBA 1979-1980 Players Information
John Coughran,SF,6-7,225,28,GSW,22,1,California,1973 Rnd 5 Pick 5,United States,NBA 1979-1980 Players Information
Dave Cowens,FC,6-9,230,31,BOS,66,9,Florida State,1970 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
Charlie Criss,G,5-8,165,31,ATL,81,2,New Mexico State,"1970 NBA Draft, Undrafted",United States,NBA 1979-1980 Players Information
Terry Crosby,SG,6-4,195,23,KCK,4,0,Tennessee,1979 Rnd 3 Pick 18,United States,NBA 1979-1980 Players Information
Pat Cummings,FC,6-9,230,23,MIL,71,1,Cincinnati,1978 Rnd 3 Pick 15,United States,NBA 1979-1980 Players Information
Bob Dandridge,SF,6-6,195,32,WAS,45,10,Norfolk State,1969 Rnd 4 Pick 2,United States,NBA 1979-1980 Players Information
Adrian Dantley,SF,6-5,208,24,UTA,68,3,Notre Dame,1976 Rnd 1 Pick 6,United States,NBA 1979-1980 Players Information
Brad Davis,G,6-3,180,24,"IND, UTH",18,2,Maryland,1977 Rnd 1 Pick 15,United States,NBA 1979-1980 Players Information
Harry Davis,SF,6-7,220,24,SAS,4,1,Florida State,1978 Rnd 2 Pick 11,United States,NBA 1979-1980 Players Information
Johnny Davis,G,6-2,170,24,IND,82,3,Dayton,1976 Rnd 2 Pick 5,United States,NBA 1979-1980 Players Information
Walter Davis,GF,6-6,193,25,PHX,75,2,North Carolina,1977 Rnd 1 Pick 5,United States,NBA 1979-1980 Players Information
Darryl Dawkins,C,6-11,251,23,PHI,80,4,Evans High School (Florida),1975 Rnd 1 Pick 5,United States,NBA 1979-1980 Players Information
Paul Dawkins,SF,6-5,190,22,UTA,56,0,Northern Illinois,1979 Rnd 10 Pick 1,United States,NBA 1979-1980 Players Information
Greg Deane,SG,6-4,190,22,UTA,7,0,Utah,1979 Rnd 4 Pick 1,United States,NBA 1979-1980 Players Information
Larry Demic,PF,6-9,225,22,NYK,82,0,Arizona,1979 Rnd 1 Pick 9,United States,NBA 1979-1980 Players Information
Coby Dietrick,FC,6-10,220,31,CHI,79,3,San Jose State,1970 Rnd 10 Pick 2,United States,NBA 1979-1980 Players Information
Leon Douglas,C,6-10,230,25,DET,70,3,Alabama,1976 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
John Drew,GF,6-6,205,25,ATL,80,5,Gardner-Webb,1974 Rnd 2 Pick 7,United States,NBA 1979-1980 Players Information
Terry Duerod,SG,6-2,180,23,DET,67,0,Detroit-Mercy,1979 Rnd 3 Pick 4,United States,NBA 1979-1980 Players Information
"Mike Dunleavy, Sr.",G,6-3,180,25,HOU,51,3,South Carolina,1976 Rnd 6 Pick 13,United States,NBA 1979-1980 Players Information
T.R. Dunn,G,6-4,192,25,POR,80,2,Alabama,1977 Rnd 2 Pick 19,United States,NBA 1979-1980 Players Information
James Edwards,C,7-0,225,24,IND,82,2,Washington,1977 Rnd 3 Pick 2,United States,NBA 1979-1980 Players Information
Bob Elliott,FC,6-9,225,24,NJN,54,2,Arizona,1977 Rnd 2 Pick 20,United States,NBA 1979-1980 Players Information
Bo Ellis,F,6-9,197,25,DEN,47,2,Marquette,1977 Rnd 1 Pick 17,United States,NBA 1979-1980 Players Information
Len Elmore,FC,6-9,220,27,KCK,58,3,Maryland,1974 Rnd 1 Pick 13,United States,NBA 1979-1980 Players Information
Alex English,SF,6-7,190,26,"DEN, IND",78,3,South Carolina,1976 Rnd 2 Pick 6,United States,NBA 1979-1980 Players Information
Julius Erving,SF,6-6,200,30,PHI,78,7,Massachusetts,1972 Rnd 1 Pick 12,United States,NBA 1979-1980 Players Information
Earl Evans,F,6-8,-,24,DET,36,0,UNLV,1978 Rnd 8 Pick 5,United States,NBA 1979-1980 Players Information
Mike Evans,G,6-1,170,24,SAS,79,1,Kansas State,1978 Rnd 1 Pick 21,United States,NBA 1979-1980 Players Information
Eric Fernsten,FC,6-10,205,26,BOS,55,2,San Francisco,1975 Rnd 4 Pick 8,United States,NBA 1979-1980 Players Information
Chris Ford,SG,6-5,190,31,BOS,73,7,Villanova,1972 Rnd 2 Pick 4,United States,NBA 1979-1980 Players Information
Don Ford,F,6-9,215,27,"CLE, LAL",73,4,UC Santa Barbara,1975 Rnd 6 Pick 2,United States,NBA 1979-1980 Players Information
Phil Ford,G,6-2,175,24,KCK,82,1,North Carolina,1978 Rnd 1 Pick 2,United States,NBA 1979-1980 Players Information
Walt Frazier,PG,6-4,200,34,CLE,3,12,Southern Illinois,1967 Rnd 1 Pick 5,United States,NBA 1979-1980 Players Information
World B. Free,G,6-2,185,26,SDC,68,4,Guilford,1975 Rnd 2 Pick 5,United States,NBA 1979-1980 Players Information
Terry Furlow,SG,6-4,190,25,"ATL, UTH",76,3,Michigan State,1976 Rnd 1 Pick 12,United States,NBA 1979-1980 Players Information
Mike Gale,G,6-4,185,29,SAS,67,3,Elizabeth City State,1971 Rnd 3 Pick 12,United States,NBA 1979-1980 Players Information
Gary Garland,PG,6-4,180,22,DEN,78,0,DePaul,1979 Rnd 2 Pick 8,United States,NBA 1979-1980 Players Information
Gus Gerard,GF,6-8,200,26,KCK,73,3,Virginia,1975 Rnd 3 Pick 14,United States,NBA 1979-1980 Players Information
George Gervin,GF,6-7,180,27,SAS,78,3,Eastern Michigan,1974 Rnd 3 Pick 4,United States,NBA 1979-1980 Players Information
John Gianelli,FC,6-10,220,29,UTA,17,7,Pacific,1972 Rnd 2 Pick 7,United States,NBA 1979-1980 Players Information
Artis Gilmore,C,7-2,240,30,CHI,48,3,Jacksonville,1971 Rnd 7 Pick 15,United States,NBA 1979-1980 Players Information
Jack Givens,SF,6-5,205,23,ATL,81,1,Kentucky,1978 Rnd 1 Pick 16,United States,NBA 1979-1980 Players Information
Mike Glenn,G,6-2,175,24,NYK,75,2,Southern Illinois,1977 Rnd 2 Pick 1,United States,NBA 1979-1980 Players Information
Glen Gondrezick,F,6-6,218,24,DEN,59,2,UNLV,1977 Rnd 2 Pick 4,United States,NBA 1979-1980 Players Information
Mike Green,C,6-10,200,28,KCK,21,3,Louisiana Tech,1973 Rnd 1 Pick 4,United States,NBA 1979-1980 Players Information
