Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,37,LAL,79,15,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1984-1985 Players Information
Alvan Adams,FC,6-9,210,30,PHX,82,9,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1984-1985 Players Information
Mark Aguirre,SF,6-6,232,25,DAL,80,3,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1984-1985 Players Information
Danny Ainge,G,6-4,175,25,BOS,75,3,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1984-1985 Players Information
Chuck Aleksinas,C,6-11,260,26,GSW,74,0,UConn,1982 Rnd 4 Pick 7,United States,NBA 1984-1985 Players Information
J.J. Anderson,F,6-8,195,24,UTA,43,2,Bradley,1982 Rnd 2 Pick 13,United States,NBA 1984-1985 Players Information
Ron Anderson,GF,6-7,215,26,CLE,36,0,Fresno State,1984 Rnd 2 Pick 3,United States,NBA 1984-1985 Players Information
John Bagley,G,6-0,185,24,CLE,81,2,Boston College,1982 Rnd 1 Pick 12,United States,NBA 1984-1985 Players Information
James Bailey,FC,6-9,220,27,NYK,74,5,Rutgers,1979 Rnd 1 Pick 6,United States,NBA 1984-1985 Players Information
Thurl Bailey,PF,6-11,215,23,UTA,80,1,NC State,1983 Rnd 1 Pick 7,United States,NBA 1984-1985 Players Information
Greg Ballard,F,6-7,215,30,WAS,82,7,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1984-1985 Players Information
Gene Banks,GF,6-7,215,25,SAS,82,3,Duke,1981 Rnd 2 Pick 5,United States,NBA 1984-1985 Players Information
Ken Bannister,FC,6-9,235,24,NYK,75,0,St. Augustine's,1984 Rnd 7 Pick 17,United States,NBA 1984-1985 Players Information
Charles Barkley,PF,6-6,252,22,PHI,82,0,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1984-1985 Players Information
Kent Benson,C,6-10,235,30,DET,72,7,Indiana,1977 Rnd 1 Pick 1,United States,NBA 1984-1985 Players Information
Larry Bird,SF,6-9,220,28,BOS,80,5,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1984-1985 Players Information
Otis Birdsong,GF,6-3,190,29,NJN,56,7,Houston,1977 Rnd 1 Pick 2,United States,NBA 1984-1985 Players Information
Rolando Blackman,G,6-6,190,26,DAL,81,3,Kansas State,1981 Rnd 1 Pick 9,PanamaUnited States,NBA 1984-1985 Players Information
Cory Blackwell,F,6-6,210,21,SEA,60,0,Wisconsin,1984 Rnd 2 Pick 4,United States,NBA 1984-1985 Players Information
Sam Bowie,C,7-1,235,23,POR,76,0,Kentucky,1984 Rnd 1 Pick 2,United States,NBA 1984-1985 Players Information
Dudley Bradley,GF,6-6,195,27,WAS,73,5,North Carolina,1979 Rnd 1 Pick 13,United States,NBA 1984-1985 Players Information
Mike Bratz,G,6-2,185,29,GSW,56,7,Stanford,1977 Rnd 3 Pick 22,United States,NBA 1984-1985 Players Information
Randy Breuer,C,7-3,230,24,MIL,78,1,Minnesota,1983 Rnd 1 Pick 18,United States,NBA 1984-1985 Players Information
Ron Brewer,G,6-4,180,29,"NJN, SAN",20,6,Arkansas,1978 Rnd 1 Pick 7,United States,NBA 1984-1985 Players Information
Frank Brickowski,PF,6-9,240,25,SEA,78,0,Penn State,1981 Rnd 3 Pick 11,United States,NBA 1984-1985 Players Information
Junior Bridgeman,GF,6-5,210,31,LAC,80,9,Louisville,1975 Rnd 1 Pick 8,United States,NBA 1984-1985 Players Information
Rickey Brown,FC,6-10,215,26,ATL,68,4,Mississippi State,1980 Rnd 1 Pick 13,United States,NBA 1984-1985 Players Information
Tony Brown,GF,6-6,185,24,IND,82,2,Arkansas,1982 Rnd 4 Pick 13,United States,NBA 1984-1985 Players Information
Wallace Bryant,C,7-0,245,25,DAL,56,1,San Francisco,1982 Rnd 2 Pick 7,United States,NBA 1984-1985 Players Information
Quinn Buckner,G,6-3,190,30,BOS,75,8,Indiana,1976 Rnd 1 Pick 7,United States,NBA 1984-1985 Players Information
Steve Burtt,G,6-2,185,22,GSW,47,0,Iona,1984 Rnd 2 Pick 6,United States,NBA 1984-1985 Players Information
Don Buse,G,6-4,190,34,KCK,64,8,Evansville,1972 Rnd 3 Pick 4,United States,NBA 1984-1985 Players Information
Michael Cage,PF,6-9,224,23,LAC,75,0,San Diego State,1984 Rnd 1 Pick 14,United States,NBA 1984-1985 Players Information
Tony Campbell,GF,6-7,215,22,DET,56,0,Ohio State,1984 Rnd 1 Pick 20,United States,NBA 1984-1985 Players Information
