#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
20,Landry Shamet,PG,6-4,190,27,Washington Wizards,5,Wichita State,2018 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
20,Day'Ron Sharpe,PF,6-9,265,22,Brooklyn Nets,2,North Carolina,2021 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
17,Shaedon Sharpe,F,6-5,205,20,Portland Trail Blazers,1,Kentucky,2022 Rnd 1 Pick 7,Canada,NBA 2023-2024 Players Information
26,Ben Sheppard,G,6-6,190,22,Indiana Pacers,0,Belmont,2023 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
43,Pascal Siakam,F,6-8,245,29,Indiana Pacers,7,New Mexico State,2016 Rnd 1 Pick 27,Cameroon,NBA 2023-2024 Players Information
10,Ben Simmons,PF,6-10,240,27,Brooklyn Nets,7,LSU,2016 Rnd 1 Pick 1,Australia,NBA 2023-2024 Players Information
8,Kobi Simmons,PG,6-5,180,26,Toronto Raptors,4,Arizona,"2017 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
1,Anfernee Simons,SG,6-3,193,24,Portland Trail Blazers,5,IMG Academy (Florida),2018 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
45,Jericho Sims,C,6-10,250,25,New York Knicks,2,Texas,2021 Rnd 2 Pick 28,United States,NBA 2023-2024 Players Information
18,Jalen Slawson,F,6-7,215,24,Sacramento Kings,0,Furman,2023 Rnd 2 Pick 24,United States,NBA 2023-2024 Players Information
36,Marcus Smart,PG,6-3,220,30,Memphis Grizzlies,9,Oklahoma State,2014 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
4,Dennis Smith,PG,6-3,205,26,Brooklyn Nets,6,NC State,2017 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
25,Jalen Smith,C,6-9,215,24,Indiana Pacers,3,Maryland,2020 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
10,"Jabari Smith, Jr.",F,6-11,220,20,Houston Rockets,1,Auburn,2022 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
8,"Nick Smith, Jr.",G,6-2,185,19,Charlotte Hornets,0,Arkansas,2023 Rnd 1 Pick 27,United States,NBA 2023-2024 Players Information
23,Terquavion Smith,G,6-4,160,21,Philadelphia Sixers,0,NC State,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
10,Jeremy Sochan,SG,6-8,230,20,San Antonio Spurs,1,Baylor,2022 Rnd 1 Pick 9,United StatesPoland,NBA 2023-2024 Players Information
